MutationType	ID83A
1:Del:C:0	0.00000714
1:Del:C:1	0.21705676
1:Del:C:2	0.11636844
1:Del:C:3	0.06260962
1:Del:C:4	0.02623336
1:Del:C:5	0.01530828
1:Del:T:0	0.00000714
1:Del:T:1	0.06378897
1:Del:T:2	0.01804011
1:Del:T:3	0.00317290
1:Del:T:4	0.00000714
1:Del:T:5	0.00624553
1:Ins:C:0	0.00671111
1:Ins:C:1	0.00894574
1:Ins:C:2	0.00326600
1:Ins:C:3	0.00590412
1:Ins:C:4	0.00996995
1:Ins:C:5	0.00320393
1:Ins:T:0	0.02660589
1:Ins:T:1	0.04572493
1:Ins:T:2	0.03107557
1:Ins:T:3	0.00590427
1:Ins:T:4	0.00602841
1:Ins:T:5	0.01990207
2:Del:R:0	0.01866097
2:Del:R:1	0.00394883
2:Del:R:2	0.00000714
2:Del:R:3	0.00000714
2:Del:R:4	0.00000714
2:Del:R:5	0.00000714
3:Del:R:0	0.00636982
3:Del:R:1	0.00295562
3:Del:R:2	0.00000714
3:Del:R:3	0.00000714
3:Del:R:4	0.00000714
3:Del:R:5	0.00000714
4:Del:R:0	0.01232872
4:Del:R:1	0.00000714
4:Del:R:2	0.00000714
4:Del:R:3	0.00000714
4:Del:R:4	0.00000714
4:Del:R:5	0.00000714
5:Del:R:0	0.08930206
5:Del:R:1	0.00301770
5:Del:R:2	0.00000714
5:Del:R:3	0.00000714
5:Del:R:4	0.00000714
5:Del:R:5	0.00000714
2:Ins:R:0	0.00550061
2:Ins:R:1	0.00000714
2:Ins:R:2	0.00000714
2:Ins:R:3	0.00000714
2:Ins:R:4	0.00000714
2:Ins:R:5	0.00000714
3:Ins:R:0	0.00879055
3:Ins:R:1	0.00640073
3:Ins:R:2	0.00000714
3:Ins:R:3	0.00000714
3:Ins:R:4	0.00000714
3:Ins:R:5	0.00000714
4:Ins:R:0	0.00329706
4:Ins:R:1	0.00354535
4:Ins:R:2	0.00000714
4:Ins:R:3	0.00000714
4:Ins:R:4	0.00000714
4:Ins:R:5	0.00000714
5:Ins:R:0	0.02821978
5:Ins:R:1	0.01239080
5:Ins:R:2	0.00000714
5:Ins:R:3	0.00000714
5:Ins:R:4	0.00000714
5:Ins:R:5	0.00000714
2:Del:M:1	0.03787263
3:Del:M:1	0.00301769
3:Del:M:2	0.00289354
4:Del:M:1	0.00000714
4:Del:M:2	0.00000714
4:Del:M:3	0.00320393
5:Del:M:1	0.02427791
5:Del:M:2	0.00913195
5:Del:M:3	0.00965970
5:Del:M:4	0.00286252
5:Del:M:5	0.00000714
