Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA_44_5645_01A	0	24	14	3
TCGA_44_A479_01A	272	0	74	0
TCGA_49_4510_01A	0	37	17	0
TCGA_49_AARE_01A	922	86	341	49
TCGA_49_AARN_01A	3	0	0	917
TCGA_49_AARO_01A	617	0	49	0
TCGA_49_AARQ_01A	344	288	172	19
TCGA_4B_A93V_01A	29	96	20	13
TCGA_50_8457_01A	8	19	38	0
TCGA_55_7910_01A	139	159	31	0
TCGA_55_7913_01B	160	6	222	5
TCGA_55_8508_01A	0	116	84	6
TCGA_55_8514_01A	14	281	27	0
TCGA_69_8253_01A	0	106	58	15
TCGA_69_A59K_01A	338	94	140	0
TCGA_86_7714_01A	0	42	43	0
TCGA_99_8025_01A	0	0	527	28
TCGA_99_8028_01A	500	0	9	4
TCGA_99_AA5R_01A	36	20	0	0
TCGA_L9_A5IP_01A	235	13	61	14
TCGA_L9_A8F4_01A	134	699	17	65
TCGA_NJ_A4YF_01A	334	380	0	4
TCGA_S2_AA1A_01A	0	140	0	0
