Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_44_5645_01A	41	0.415	54.629	133.241%	9.023	92.574%	1.41985	0.163
TCGA_44_A479_01A	346	0.959	120.317	34.774%	17.122	28.434%	0.16783	0.938
TCGA_49_4510_01A	54	0.616	54.361	100.669%	7.622	81.251%	0.93143	0.343
TCGA_49_AARE_01A	1398	0.984	252.34	18.05%	39.777	17.766%	0.03409	0.973
TCGA_49_AARN_01A	920	1.0	29.367	3.192%	4.613	2.97%	0.00101	0.999
TCGA_49_AARO_01A	666	0.977	163.571	24.56%	25.272	21.266%	0.06702	0.967
TCGA_49_AARQ_01A	823	0.972	220.11	26.745%	32.139	24.022%	0.074	0.955
TCGA_4B_A93V_01A	158	0.904	73.515	46.528%	10.385	42.973%	0.24375	0.82
TCGA_50_8457_01A	65	0.786	48.64	74.831%	6.789	62.235%	0.5056	0.633
TCGA_55_7910_01A	329	0.95	116.723	35.478%	15.898	31.626%	0.13719	0.91
TCGA_55_7913_01B	393	0.953	133.688	34.017%	17.916	30.357%	0.12168	0.912
TCGA_55_8508_01A	206	0.898	98.436	47.784%	13.982	43.952%	0.23049	0.811
TCGA_55_8514_01A	322	0.928	134.945	41.908%	20.092	37.57%	0.19983	0.885
TCGA_69_8253_01A	179	0.896	91.03	50.855%	12.77	44.459%	0.27869	0.819
TCGA_69_A59K_01A	572	0.967	178.159	31.147%	25.625	26.288%	0.09653	0.949
TCGA_86_7714_01A	85	0.742	65.798	77.409%	9.541	67.977%	0.49405	0.545
TCGA_99_8025_01A	555	0.973	134.814	24.291%	21.433	23.693%	0.06443	0.959
TCGA_99_8028_01A	513	0.965	156.707	30.547%	23.198	26.817%	0.08741	0.946
TCGA_99_AA5R_01A	56	0.806	45.137	80.602%	6.01	60.1%	0.67092	0.7
TCGA_L9_A5IP_01A	323	0.947	123.599	38.266%	17.055	32.156%	0.19277	0.912
TCGA_L9_A8F4_01A	915	0.97	228.045	24.923%	32.835	24.325%	0.06703	0.942
TCGA_NJ_A4YF_01A	718	0.974	189.545	26.399%	27.226	22.728%	0.06913	0.96
TCGA_S2_AA1A_01A	140	0.898	79.593	56.852%	11.959	45.66%	0.34445	0.862
