Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA_44_5645_01A	0	0	0	41	0
TCGA_44_A479_01A	39	243	64	0	0
TCGA_49_4510_01A	0	13	18	23	0
TCGA_49_AARE_01A	204	726	220	202	46
TCGA_49_AARN_01A	0	5	0	0	915
TCGA_49_AARO_01A	212	442	12	0	0
TCGA_49_AARQ_01A	651	0	155	0	17
TCGA_4B_A93V_01A	0	55	4	86	13
TCGA_50_8457_01A	0	7	23	35	0
TCGA_55_7910_01A	0	173	5	151	0
TCGA_55_7913_01B	0	144	174	71	4
TCGA_55_8508_01A	0	1	40	157	8
TCGA_55_8514_01A	163	0	27	132	0
TCGA_69_8253_01A	12	11	38	102	16
TCGA_69_A59K_01A	363	103	106	0	0
TCGA_86_7714_01A	0	0	8	75	2
TCGA_99_8025_01A	0	7	533	0	15
TCGA_99_8028_01A	0	508	0	5	0
TCGA_99_AA5R_01A	39	17	0	0	0
TCGA_L9_A5IP_01A	0	245	49	18	11
TCGA_L9_A8F4_01A	522	0	24	306	63
TCGA_NJ_A4YF_01A	712	0	0	0	6
TCGA_S2_AA1A_01A	81	0	0	59	0
