Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA_44_5645_01A	0.00E+00	7.99E-01	9.13E-01	1.23E+00	6.25E-01	1.69E+00
TCGA_44_A479_01A	8.84E+00	8.38E+00	6.87E+00	3.80E+00	9.38E-01	2.90E+00
TCGA_49_4510_01A	1.01E+00	1.68E+00	1.88E+00	1.53E+00	4.21E-01	1.94E+00
TCGA_49_AARE_01A	2.42E+01	2.68E+01	2.19E+01	1.25E+01	1.57E+00	1.48E+01
TCGA_49_AARN_01A	8.76E-01	6.00E-01	0.00E+00	1.48E+00	1.78E+00	0.00E+00
TCGA_49_AARO_01A	1.91E+01	1.96E+01	1.48E+01	3.86E+00	6.34E-01	5.18E+00
TCGA_49_AARQ_01A	1.55E+01	2.03E+01	1.80E+01	9.28E+00	7.94E-01	1.05E+01
TCGA_4B_A93V_01A	3.72E+00	3.16E+00	4.27E+00	2.04E+00	4.76E-01	3.37E+00
TCGA_50_8457_01A	1.05E+00	1.03E+00	1.46E+00	1.87E+00	4.75E-01	1.94E+00
TCGA_55_7910_01A	6.39E+00	5.12E+00	7.45E+00	2.46E+00	0.00E+00	5.09E+00
TCGA_55_7913_01B	6.32E+00	5.21E+00	9.30E+00	6.90E+00	1.17E+00	6.48E+00
TCGA_55_8508_01A	1.81E+00	3.66E+00	4.27E+00	4.48E+00	1.23E+00	6.13E+00
TCGA_55_8514_01A	6.32E+00	8.88E+00	1.21E+01	5.08E+00	3.15E-01	8.22E+00
TCGA_69_8253_01A	2.93E+00	4.81E+00	4.68E+00	3.95E+00	8.92E-01	4.88E+00
TCGA_69_A59K_01A	1.23E+01	1.30E+01	1.44E+01	5.84E+00	0.00E+00	6.72E+00
TCGA_86_7714_01A	1.44E+00	1.72E+00	2.40E+00	2.40E+00	1.64E-01	3.13E+00
TCGA_99_8025_01A	4.98E+00	4.12E+00	4.44E+00	9.09E+00	9.57E-01	3.82E+00
TCGA_99_8028_01A	1.15E+01	9.02E+00	9.03E+00	1.12E+00	0.00E+00	5.62E+00
TCGA_99_AA5R_01A	1.90E+00	1.77E+00	2.01E+00	3.07E-01	2.19E-01	1.09E+00
TCGA_L9_A5IP_01A	9.66E+00	6.58E+00	1.04E+01	3.17E+00	2.00E-01	4.15E+00
TCGA_L9_A8F4_01A	1.47E+01	2.22E+01	1.22E+01	7.97E+00	1.56E+00	2.05E+01
TCGA_NJ_A4YF_01A	1.55E+01	1.75E+01	1.65E+01	3.62E+00	7.29E-01	7.45E+00
TCGA_S2_AA1A_01A	2.77E+00	4.58E+00	5.09E+00	1.27E+00	3.74E-01	3.49E+00
