NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	138.32	52.685	21.912	43.338	0.334	0.808	40000.0
2	136.635	54.662	20.912	44.233	0.36	0.786	20000.0
3	133.377	53.578	20.41	43.043	0.344	0.804	40000.0
4	139.869	54.288	21.406	43.553	0.352	0.8	40000.0
5	133.559	51.781	20.519	43.109	0.331	0.807	30000.0
6	131.063	53.285	20.191	43.568	0.344	0.795	50000.0
7	133.296	52.185	20.732	42.887	0.328	0.81	60000.0
8	135.535	53.653	20.545	43.058	0.347	0.806	30000.0
9	142.556	52.586	21.684	43.167	0.326	0.814	20000.0
10	136.911	54.61	21.265	43.755	0.362	0.791	50000.0
11	136.06	52.63	20.83	43.108	0.342	0.804	50000.0
12	135.082	53.532	21.093	43.345	0.358	0.796	20000.0
13	134.796	53.552	20.539	42.865	0.346	0.805	40000.0
14	137.746	54.31	21.448	44.41	0.368	0.789	30000.0
15	128.472	50.995	19.186	40.958	0.329	0.822	40000.0
16	133.527	54.057	20.412	43.65	0.366	0.789	60000.0
17	136.645	52.815	21.237	43.61	0.351	0.799	20000.0
18	134.455	52.374	20.731	42.653	0.348	0.803	30000.0
19	132.467	52.098	20.661	43.006	0.34	0.804	40000.0
20	132.02	53.285	20.599	43.702	0.354	0.792	20000.0
21	133.596	53.364	20.423	43.431	0.355	0.792	30000.0
22	134.142	52.066	20.559	43.148	0.339	0.797	50000.0
23	134.599	51.521	20.827	42.161	0.313	0.818	20000.0
24	139.012	53.119	21.23	42.982	0.332	0.808	60000.0
25	132.695	51.981	20.938	42.908	0.335	0.81	40000.0
26	132.1	50.981	20.323	42.714	0.311	0.81	20000.0
27	133.82	52.705	21.183	43.203	0.355	0.798	20000.0
28	127.294	51.35	19.54	41.853	0.33	0.81	30000.0
29	136.997	54.062	20.975	43.838	0.36	0.796	50000.0
30	132.645	51.851	20.179	42.259	0.333	0.814	20000.0
31	142.641	53.845	21.771	44.007	0.335	0.801	20000.0
32	135.172	52.89	20.717	43.055	0.342	0.798	20000.0
33	141.572	54.103	21.669	43.703	0.356	0.806	30000.0
34	136.301	51.126	20.613	42.082	0.309	0.821	40000.0
35	132.558	52.827	20.125	42.735	0.341	0.804	30000.0
36	133.164	52.198	20.706	43.275	0.333	0.808	30000.0
37	133.468	53.585	20.338	43.493	0.358	0.789	40000.0
38	133.535	52.889	20.775	43.014	0.35	0.808	30000.0
39	136.615	52.609	20.938	43.255	0.34	0.8	20000.0
40	138.401	53.834	20.967	42.985	0.338	0.802	30000.0
41	139.57	53.385	21.551	43.864	0.347	0.801	20000.0
42	134.909	51.844	20.829	42.795	0.329	0.814	20000.0
43	136.716	52.86	21.077	43.38	0.324	0.809	40000.0
44	134.317	53.75	20.911	43.779	0.351	0.795	20000.0
45	135.704	53.401	20.529	43.3	0.354	0.791	30000.0
46	138.09	54.911	21.045	44.54	0.372	0.777	20000.0
47	129.915	53.008	19.808	42.621	0.349	0.801	20000.0
48	136.227	54.266	21.045	43.568	0.362	0.799	30000.0
49	129.247	51.993	19.651	42.392	0.35	0.804	30000.0
