Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA_44_5645_01A	0.00E+00	4.11E-01	5.61E-01	9.62E-01	1.08E+00	5.32E-01	1.59E+00
TCGA_44_A479_01A	9.21E+00	8.12E+00	9.30E+00	5.06E+00	3.67E+00	8.30E-01	2.47E+00
TCGA_49_4510_01A	9.90E-01	1.66E+00	1.43E+00	1.79E+00	1.26E+00	3.96E-01	2.06E+00
TCGA_49_AARE_01A	2.69E+01	2.56E+01	2.19E+01	2.63E+01	1.15E+01	1.24E+00	1.07E+01
TCGA_49_AARN_01A	1.03E+00	1.08E+00	9.27E-01	6.60E-01	7.38E-01	2.46E+00	1.12E+00
TCGA_49_AARO_01A	2.05E+01	2.12E+01	2.14E+01	8.40E+00	3.53E+00	6.41E-01	2.66E+00
TCGA_49_AARQ_01A	1.06E+01	1.95E+01	2.00E+01	1.65E+01	8.76E+00	4.77E-01	6.93E+00
TCGA_4B_A93V_01A	4.04E+00	3.18E+00	3.04E+00	3.91E+00	1.84E+00	5.39E-01	3.10E+00
TCGA_50_8457_01A	1.23E+00	9.77E-01	9.17E-01	1.58E+00	1.85E+00	3.58E-01	1.93E+00
TCGA_55_7910_01A	7.09E+00	5.42E+00	7.73E+00	6.16E+00	1.93E+00	6.00E-02	4.99E+00
TCGA_55_7913_01B	5.27E+00	4.98E+00	8.05E+00	7.71E+00	7.61E+00	1.31E+00	5.96E+00
TCGA_55_8508_01A	2.15E+00	2.72E+00	2.72E+00	5.72E+00	4.34E+00	1.23E+00	5.23E+00
TCGA_55_8514_01A	5.36E+00	5.13E+00	1.19E+01	1.14E+01	3.93E+00	2.19E-01	7.90E+00
TCGA_69_8253_01A	2.62E+00	3.74E+00	2.81E+00	6.12E+00	3.00E+00	8.69E-01	3.45E+00
TCGA_69_A59K_01A	9.96E+00	1.04E+01	1.50E+01	8.70E+00	5.02E+00	0.00E+00	6.96E+00
TCGA_86_7714_01A	1.73E+00	1.16E+00	9.77E-01	2.53E+00	1.74E+00	2.44E-01	3.18E+00
TCGA_99_8025_01A	3.47E+00	3.19E+00	4.86E+00	5.31E+00	8.55E+00	6.53E-01	3.30E+00
TCGA_99_8028_01A	1.24E+01	7.16E+00	1.02E+01	7.30E+00	1.70E+00	0.00E+00	3.96E+00
TCGA_99_AA5R_01A	1.82E+00	1.84E+00	1.97E+00	1.18E+00	1.59E-01	1.31E-01	8.52E-01
TCGA_L9_A5IP_01A	1.03E+01	6.50E+00	1.10E+01	8.82E+00	2.93E+00	2.00E-01	3.69E+00
TCGA_L9_A8F4_01A	1.09E+01	2.44E+01	1.14E+01	1.45E+01	7.64E+00	1.33E+00	1.67E+01
TCGA_NJ_A4YF_01A	1.28E+01	1.79E+01	1.59E+01	1.38E+01	2.27E+00	6.72E-01	5.77E+00
TCGA_S2_AA1A_01A	2.95E+00	4.24E+00	3.80E+00	4.72E+00	1.35E+00	3.02E-01	3.35E+00
