Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA_44_5645_01A	0	0	0	0	0	0	0	41
TCGA_44_A479_01A	36	215	18	0	62	0	15	0
TCGA_49_4510_01A	0	0	5	10	9	0	18	12
TCGA_49_AARE_01A	208	290	166	488	30	29	187	0
TCGA_49_AARN_01A	0	7	0	3	0	905	5	0
TCGA_49_AARO_01A	87	430	127	0	22	0	0	0
TCGA_49_AARQ_01A	378	0	212	3	142	11	77	0
TCGA_4B_A93V_01A	0	63	0	0	1	13	15	66
TCGA_50_8457_01A	0	15	0	0	13	0	0	37
TCGA_55_7910_01A	0	93	0	0	0	0	154	82
TCGA_55_7913_01B	5	83	0	201	104	0	0	0
TCGA_55_8508_01A	0	0	0	163	4	5	0	34
TCGA_55_8514_01A	204	0	0	7	23	0	0	88
TCGA_69_8253_01A	0	0	23	131	14	11	0	0
TCGA_69_A59K_01A	269	95	0	0	70	5	78	55
TCGA_86_7714_01A	0	0	0	48	0	0	0	37
TCGA_99_8025_01A	0	13	0	0	542	0	0	0
TCGA_99_8028_01A	0	441	0	52	0	0	0	20
TCGA_99_AA5R_01A	21	13	0	0	0	0	22	0
TCGA_L9_A5IP_01A	0	27	0	0	0	7	289	0
TCGA_L9_A8F4_01A	0	0	809	0	24	14	0	68
TCGA_NJ_A4YF_01A	565	0	140	0	0	13	0	0
TCGA_S2_AA1A_01A	30	0	64	14	0	0	22	10
