Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA_44_5645_01A	7.16E-01	0.00E+00	3.05E-01	4.28E-01	8.07E-01	3.45E-01	0.00E+00	1.25E+00
TCGA_44_A479_01A	6.38E+00	9.83E+00	6.41E+00	3.43E+00	3.51E+00	8.64E-01	1.08E+01	2.98E+00
TCGA_49_4510_01A	1.33E+00	7.76E-01	1.55E+00	2.01E+00	1.21E+00	2.59E-01	1.33E+00	1.85E+00
TCGA_49_AARE_01A	2.37E+01	2.52E+01	2.61E+01	2.39E+01	1.02E+01	1.24E+00	3.18E+01	9.41E+00
TCGA_49_AARN_01A	0.00E+00	1.14E+00	5.50E-01	7.30E-01	1.53E+00	3.27E+00	2.48E+00	1.01E+00
TCGA_49_AARO_01A	1.82E+01	2.02E+01	1.73E+01	4.15E+00	3.34E+00	4.15E-01	1.48E+01	1.22E+00
TCGA_49_AARQ_01A	2.09E+01	1.10E+01	1.91E+01	1.10E+01	9.37E+00	4.63E-01	2.11E+01	6.30E+00
TCGA_4B_A93V_01A	2.34E+00	3.50E+00	3.01E+00	3.10E+00	1.81E+00	4.32E-01	4.11E+00	2.73E+00
TCGA_50_8457_01A	7.42E-01	9.35E-01	1.12E+00	1.94E+00	1.77E+00	3.22E-01	9.88E-01	1.85E+00
TCGA_55_7910_01A	5.61E+00	7.61E+00	4.01E+00	5.46E+00	1.38E+00	0.00E+00	8.09E+00	4.35E+00
TCGA_55_7913_01B	6.03E+00	4.76E+00	4.66E+00	9.23E+00	6.93E+00	7.37E-01	9.98E+00	5.24E+00
TCGA_55_8508_01A	2.43E+00	1.41E+00	3.26E+00	6.75E+00	3.38E+00	1.22E+00	3.02E+00	5.47E+00
TCGA_55_8514_01A	1.15E+01	5.36E+00	5.48E+00	8.46E+00	4.03E+00	1.81E-01	1.00E+01	8.47E+00
TCGA_69_8253_01A	3.73E+00	1.50E+00	4.68E+00	6.35E+00	3.49E+00	7.91E-01	2.91E+00	2.99E+00
TCGA_69_A59K_01A	1.56E+01	8.98E+00	7.20E+00	6.99E+00	5.37E+00	0.00E+00	1.58E+01	6.19E+00
TCGA_86_7714_01A	5.44E-01	1.24E+00	1.05E+00	3.07E+00	9.42E-01	1.36E-01	2.33E+00	2.89E+00
TCGA_99_8025_01A	1.12E+00	3.26E+00	4.18E+00	3.32E+00	8.48E+00	6.52E-01	3.88E+00	3.50E+00
TCGA_99_8028_01A	9.85E+00	1.47E+01	7.23E+00	7.95E+00	9.47E-01	0.00E+00	1.14E+01	2.27E+00
TCGA_99_AA5R_01A	1.85E+00	1.72E+00	1.44E+00	1.12E+00	1.77E-01	1.63E-01	1.62E+00	5.83E-01
TCGA_L9_A5IP_01A	6.65E+00	9.50E+00	4.73E+00	6.19E+00	2.62E+00	0.00E+00	1.21E+01	3.01E+00
TCGA_L9_A8F4_01A	1.38E+01	1.06E+01	2.15E+01	1.15E+01	5.42E+00	1.04E+00	9.13E+00	1.35E+01
TCGA_NJ_A4YF_01A	1.70E+01	1.12E+01	1.65E+01	8.07E+00	2.88E+00	5.96E-01	1.03E+01	5.62E+00
TCGA_S2_AA1A_01A	4.45E+00	2.59E+00	4.28E+00	3.88E+00	8.16E-01	3.25E-01	4.16E+00	2.82E+00
