Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA_44_5645_01A	0	0	0	0	0	0	0	0	41
TCGA_44_A479_01A	40	192	15	0	46	53	0	0	0
TCGA_49_4510_01A	0	0	2	31	12	7	0	0	2
TCGA_49_AARE_01A	335	190	169	487	188	20	9	0	0
TCGA_49_AARN_01A	0	11	0	7	3	1	898	0	0
TCGA_49_AARO_01A	0	509	130	0	0	27	0	0	0
TCGA_49_AARQ_01A	512	0	153	34	0	101	2	0	21
TCGA_4B_A93V_01A	0	3	0	0	94	0	7	0	54
TCGA_50_8457_01A	0	14	0	0	0	10	0	0	41
TCGA_55_7910_01A	18	54	0	0	178	0	0	2	77
TCGA_55_7913_01B	13	61	0	239	0	80	0	0	0
TCGA_55_8508_01A	0	0	0	80	0	11	8	61	46
TCGA_55_8514_01A	0	0	0	0	0	3	0	319	0
TCGA_69_8253_01A	2	0	25	75	0	22	11	21	23
TCGA_69_A59K_01A	353	110	0	0	0	40	0	0	69
TCGA_86_7714_01A	0	0	0	46	0	0	0	0	39
TCGA_99_8025_01A	0	11	0	0	0	544	0	0	0
TCGA_99_8028_01A	0	377	0	21	92	0	0	0	23
TCGA_99_AA5R_01A	0	15	0	0	19	0	0	22	0
TCGA_L9_A5IP_01A	0	0	0	0	311	7	5	0	0
TCGA_L9_A8F4_01A	0	0	759	0	0	38	17	0	101
TCGA_NJ_A4YF_01A	341	0	190	0	35	0	0	152	0
TCGA_S2_AA1A_01A	0	0	44	0	15	0	0	81	0
