Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA_44_5645_01A	6.33E-01	0.00E+00	6.43E-01	2.57E-01	0.00E+00	7.03E-01	4.14E-01	8.44E-01	1.47E+00
TCGA_44_A479_01A	8.58E+00	1.01E+01	8.16E+00	3.02E+00	8.11E+00	3.17E+00	8.37E-01	4.27E+00	2.23E+00
TCGA_49_4510_01A	1.32E+00	5.62E-01	1.19E+00	2.10E+00	1.66E+00	1.09E+00	3.18E-01	1.22E+00	1.55E+00
TCGA_49_AARE_01A	2.49E+01	2.67E+01	2.95E+01	2.40E+01	3.01E+01	1.13E+01	1.20E+00	1.89E+01	7.33E+00
TCGA_49_AARN_01A	0.00E+00	1.76E+00	1.20E+00	2.04E-01	1.78E+00	1.91E+00	3.44E+00	7.20E-01	8.65E-01
TCGA_49_AARO_01A	1.80E+01	2.22E+01	1.99E+01	3.81E+00	9.12E+00	3.61E+00	6.82E-01	6.32E+00	2.00E+00
TCGA_49_AARQ_01A	2.42E+01	1.31E+01	1.84E+01	9.87E+00	8.80E+00	8.40E+00	4.17E-01	9.21E+00	8.07E+00
TCGA_4B_A93V_01A	2.72E+00	2.54E+00	2.76E+00	3.87E+00	4.51E+00	1.13E+00	3.12E-01	2.12E+00	3.35E+00
TCGA_50_8457_01A	6.59E-01	1.00E+00	1.17E+00	1.17E+00	1.22E+00	1.64E+00	3.13E-01	1.47E+00	1.82E+00
TCGA_55_7910_01A	5.75E+00	5.78E+00	2.91E+00	7.30E+00	7.66E+00	1.39E+00	0.00E+00	6.13E+00	5.22E+00
TCGA_55_7913_01B	6.80E+00	4.56E+00	4.85E+00	1.19E+01	4.24E+00	7.00E+00	7.73E-01	5.05E+00	4.46E+00
TCGA_55_8508_01A	3.55E+00	1.64E+00	2.09E+00	6.34E+00	1.51E+00	2.63E+00	1.16E+00	5.37E+00	6.26E+00
TCGA_55_8514_01A	6.66E+00	4.88E+00	2.80E+00	2.63E+00	6.12E+00	3.41E+00	1.35E-01	1.27E+01	7.26E+00
TCGA_69_8253_01A	3.81E+00	2.01E+00	4.10E+00	6.21E+00	1.70E+00	3.28E+00	6.96E-01	4.87E+00	4.08E+00
TCGA_69_A59K_01A	1.73E+01	1.18E+01	5.29E+00	6.98E+00	7.96E+00	4.92E+00	0.00E+00	1.02E+01	5.93E+00
TCGA_86_7714_01A	4.79E-01	8.80E-01	7.86E-01	3.22E+00	2.07E+00	1.28E+00	1.91E-01	1.46E+00	3.02E+00
TCGA_99_8025_01A	1.60E-01	2.97E+00	1.69E+00	1.36E+00	2.29E+00	7.45E+00	5.06E-01	3.91E+00	4.02E+00
TCGA_99_8028_01A	5.86E+00	1.74E+01	7.96E+00	7.84E+00	1.43E+01	7.89E-01	0.00E+00	7.09E+00	2.06E+00
TCGA_99_AA5R_01A	1.48E+00	1.50E+00	1.20E+00	9.58E-01	1.69E+00	2.34E-01	6.11E-02	1.69E+00	4.50E-01
TCGA_L9_A5IP_01A	5.97E+00	7.50E+00	3.02E+00	5.15E+00	1.18E+01	1.78E+00	1.30E-01	4.34E+00	2.97E+00
TCGA_L9_A8F4_01A	1.04E+01	1.22E+01	2.41E+01	1.33E+01	1.22E+01	4.13E+00	9.70E-01	1.15E+01	1.28E+01
TCGA_NJ_A4YF_01A	1.92E+01	1.24E+01	1.66E+01	4.90E+00	1.18E+01	1.91E+00	4.79E-01	1.68E+01	4.23E+00
TCGA_S2_AA1A_01A	4.17E+00	2.27E+00	3.79E+00	2.94E+00	4.38E+00	7.17E-01	2.39E-01	5.42E+00	2.14E+00
