Samples	SBS1	SBS2	SBS4	SBS5	SBS17a	SBS17b
TCGA_44_5645_01A	7	0	0	34	0	0
TCGA_44_A479_01A	10	0	290	46	0	0
TCGA_49_4510_01A	1	0	21	32	0	0
TCGA_49_AARE_01A	25	0	1076	297	0	0
TCGA_49_AARN_01A	0	195	462	0	97	163
TCGA_49_AARO_01A	5	0	614	47	0	0
TCGA_49_AARQ_01A	18	37	661	107	0	0
TCGA_4B_A93V_01A	8	0	97	53	0	0
TCGA_50_8457_01A	9	0	32	24	0	0
TCGA_55_7910_01A	21	0	241	67	0	0
TCGA_55_7913_01B	20	22	261	90	0	0
TCGA_55_8508_01A	18	11	122	55	0	0
TCGA_55_8514_01A	24	0	235	63	0	0
TCGA_69_8253_01A	8	13	112	46	0	0
TCGA_69_A59K_01A	30	28	474	40	0	0
TCGA_86_7714_01A	6	0	32	47	0	0
TCGA_99_8025_01A	27	73	270	185	0	0
TCGA_99_8028_01A	6	0	437	70	0	0
TCGA_99_AA5R_01A	0	0	45	11	0	0
TCGA_L9_A5IP_01A	6	0	255	62	0	0
TCGA_L9_A8F4_01A	15	0	625	275	0	0
TCGA_NJ_A4YF_01A	9	0	599	110	0	0
TCGA_S2_AA1A_01A	4	0	113	23	0	0
