Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_44_5645_01A	41	0.352	56.475	137.744%	9.436	96.811%	1.56872	0.071
TCGA_44_A479_01A	346	0.95	127.136	36.745%	19.144	31.792%	0.23403	0.925
TCGA_49_4510_01A	54	0.6	56.942	105.448%	7.867	83.863%	1.00071	0.332
TCGA_49_AARE_01A	1398	0.983	266.17	19.039%	41.81	18.674%	0.03946	0.972
TCGA_49_AARN_01A	920	0.992	108.355	11.778%	20.127	12.96%	0.01195	0.987
TCGA_49_AARO_01A	666	0.96	211.397	31.741%	35.111	29.546%	0.10746	0.944
TCGA_49_AARQ_01A	823	0.973	212.58	25.83%	31.065	23.22%	0.07158	0.957
TCGA_4B_A93V_01A	158	0.897	75.287	47.65%	10.823	44.786%	0.25734	0.811
TCGA_50_8457_01A	65	0.745	52.575	80.885%	7.441	68.212%	0.57542	0.567
TCGA_55_7910_01A	329	0.948	120.689	36.684%	16.3	32.425%	0.14594	0.908
TCGA_55_7913_01B	393	0.936	151.874	38.645%	20.89	35.397%	0.15078	0.88
TCGA_55_8508_01A	206	0.867	108.337	52.591%	16.06	50.484%	0.27282	0.754
TCGA_55_8514_01A	322	0.918	140.998	43.788%	21.17	39.586%	0.24789	0.865
TCGA_69_8253_01A	179	0.876	101.624	56.773%	13.885	48.341%	0.30439	0.781
TCGA_69_A59K_01A	572	0.966	179.189	31.327%	25.862	26.531%	0.09557	0.949
TCGA_86_7714_01A	85	0.693	74.517	87.667%	10.444	74.41%	0.58624	0.463
TCGA_99_8025_01A	555	0.87	266.607	48.037%	44.63	49.337%	0.24164	0.774
TCGA_99_8028_01A	513	0.94	193.769	37.772%	29.565	34.177%	0.13357	0.904
TCGA_99_AA5R_01A	56	0.794	46.477	82.995%	6.118	61.18%	0.71595	0.677
TCGA_L9_A5IP_01A	323	0.942	128.963	39.927%	17.827	33.612%	0.1928	0.903
TCGA_L9_A8F4_01A	915	0.964	258.635	28.266%	36.785	27.251%	0.07862	0.933
TCGA_NJ_A4YF_01A	718	0.967	206.159	28.713%	31.069	25.936%	0.08499	0.947
TCGA_S2_AA1A_01A	140	0.869	83.903	59.931%	13.008	49.665%	0.45329	0.808
