NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	3.193	55.822	1.377	39.333	0.574	0.842	20000.0
2	3.221	52.466	1.391	36.689	0.497	0.872	20000.0
3	3.472	60.896	1.474	41.842	0.568	0.839	30000.0
4	3.49	57.263	1.476	40.042	0.565	0.848	20000.0
5	3.443	58.115	1.46	39.777	0.536	0.859	30000.0
6	3.758	62.392	1.566	43.506	0.631	0.818	30000.0
7	3.315	58.146	1.435	39.437	0.534	0.849	20000.0
8	3.373	56.533	1.451	40.689	0.553	0.851	30000.0
9	3.241	54.291	1.377	37.806	0.582	0.851	30000.0
10	3.763	63.953	1.598	44.495	0.624	0.827	30000.0
11	3.348	61.479	1.482	43.363	0.59	0.824	20000.0
12	3.368	58.963	1.533	41.642	0.581	0.838	30000.0
13	3.48	59.55	1.506	41.411	0.568	0.832	20000.0
14	3.186	53.694	1.388	38.03	0.513	0.862	30000.0
15	3.152	57.136	1.365	39.061	0.587	0.843	20000.0
16	3.523	60.021	1.509	41.444	0.63	0.826	20000.0
17	3.34	58.177	1.462	40.538	0.587	0.832	30000.0
18	2.795	51.721	1.253	37.326	0.539	0.854	80000.0
19	3.005	53.69	1.336	37.72	0.53	0.854	20000.0
20	3.229	55.518	1.369	38.486	0.554	0.852	20000.0
21	3.594	60.749	1.547	43.193	0.62	0.826	20000.0
22	3.384	58.028	1.427	40.796	0.589	0.834	30000.0
23	3.484	60.324	1.471	41.751	0.597	0.838	30000.0
24	3.654	58.157	1.566	40.743	0.546	0.853	20000.0
25	3.095	52.926	1.333	37.756	0.518	0.861	20000.0
26	3.125	53.759	1.343	37.501	0.512	0.859	20000.0
27	3.107	55.164	1.36	39.373	0.545	0.857	20000.0
28	3.136	53.903	1.363	36.894	0.513	0.861	40000.0
29	3.223	54.817	1.383	37.406	0.528	0.846	40000.0
30	3.332	56.333	1.439	39.805	0.605	0.83	30000.0
31	3.11	53.361	1.359	38.03	0.543	0.861	30000.0
32	3.977	66.212	1.636	44.978	0.66	0.812	30000.0
33	3.55	60.798	1.52	42.802	0.583	0.835	30000.0
34	3.39	58.359	1.467	40.598	0.556	0.846	30000.0
35	3.363	57.132	1.453	41.463	0.561	0.838	30000.0
36	3.745	65.952	1.621	46.178	0.662	0.815	40000.0
37	3.698	63.686	1.568	43.808	0.575	0.835	40000.0
38	3.56	61.263	1.524	42.831	0.616	0.829	20000.0
39	2.988	52.059	1.279	36.699	0.519	0.873	40000.0
40	3.113	53.561	1.34	36.252	0.557	0.864	40000.0
41	3.207	56.851	1.392	39.726	0.563	0.849	20000.0
42	3.824	66.914	1.606	45.388	0.646	0.81	60000.0
43	3.319	57.271	1.408	39.074	0.567	0.85	30000.0
44	3.748	59.242	1.542	40.81	0.574	0.843	80000.0
45	3.36	57.413	1.448	40.059	0.569	0.842	30000.0
46	3.368	56.334	1.452	39.554	0.552	0.848	20000.0
47	3.427	59.228	1.452	40.137	0.587	0.839	40000.0
48	3.229	56.411	1.355	38.608	0.558	0.842	20000.0
49	3.029	52.933	1.324	36.868	0.549	0.851	20000.0
50	3.336	55.857	1.451	39.933	0.539	0.856	40000.0
51	3.442	60.463	1.462	41.603	0.589	0.829	40000.0
52	3.196	55.799	1.364	39.315	0.508	0.854	100000.0
53	3.067	55.646	1.397	39.284	0.56	0.849	30000.0
54	3.522	59.181	1.548	41.503	0.548	0.852	20000.0
55	3.325	57.041	1.472	39.619	0.571	0.844	20000.0
56	3.386	54.693	1.409	37.984	0.575	0.852	30000.0
57	3.198	53.422	1.339	38.134	0.534	0.854	20000.0
58	3.432	58.055	1.459	40.472	0.541	0.844	20000.0
59	3.474	57.728	1.499	40.575	0.565	0.844	20000.0
60	3.7	65.17	1.593	44.096	0.594	0.83	50000.0
61	3.725	65.433	1.582	44.436	0.697	0.812	30000.0
62	3.281	55.782	1.39	39.286	0.577	0.854	20000.0
63	3.021	53.61	1.342	37.12	0.508	0.864	30000.0
64	3.075	55.145	1.322	38.394	0.564	0.846	30000.0
65	3.376	55.027	1.422	38.013	0.553	0.866	30000.0
66	3.286	56.441	1.384	38.861	0.575	0.845	20000.0
67	3.103	54.624	1.367	37.735	0.531	0.861	30000.0
68	3.191	55.37	1.412	39.097	0.538	0.853	40000.0
69	3.137	56.226	1.435	40.075	0.537	0.844	20000.0
70	3.372	56.006	1.475	39.187	0.535	0.856	20000.0
71	3.272	54.459	1.407	38.111	0.53	0.849	30000.0
72	3.67	60.554	1.552	43.302	0.574	0.826	30000.0
73	3.699	64.185	1.563	43.913	0.653	0.817	20000.0
74	3.557	59.982	1.5	42.226	0.608	0.833	20000.0
75	3.481	58.391	1.468	39.809	0.562	0.846	20000.0
76	3.812	66.765	1.6	44.268	0.654	0.811	70000.0
77	3.195	55.842	1.401	37.969	0.548	0.855	40000.0
78	3.248	54.289	1.389	38.105	0.567	0.856	20000.0
79	3.213	55.631	1.416	40.174	0.564	0.839	20000.0
