MutationType	DBS78A	DBS78B	DBS78C
AC>CA	0.002788164649123206	0.007598233969333137	0.0058316846976174475
AC>CG	1.3143312226020497e-05	1.609822004866146e-05	1.758998972036352e-05
AC>CT	0.0016312347010170925	0.004780604800736228	0.0048216018425227955
AC>GA	0.0012062785304669888	0.004007788756853188	0.0027046827464880605
AC>GG	1.3143312171450817e-05	1.60982199213322e-05	1.7589989820407936e-05
AC>GT	1.3143312226020497e-05	1.609822004866146e-05	1.758998972036352e-05
AC>TA	0.0009188896347298225	0.007022860414103889	0.007735867328781296
AC>TG	1.3143312226020497e-05	1.609822004866146e-05	1.758998972036352e-05
AC>TT	0.0006496419284553667	0.005167258666200496	0.0044867408683489885
AT>CA	1.3143312226020497e-05	1.609822004866146e-05	1.758998972036352e-05
AT>CC	1.3143312171450817e-05	1.60982199213322e-05	1.7589989820407936e-05
AT>CG	1.3143312226020497e-05	1.609822004866146e-05	1.758998972036352e-05
AT>GA	0.0007929970174654955	0.0025665709416091433	0.0018183673791875776
AT>GC	1.3143312226020497e-05	1.609822004866146e-05	1.758998972036352e-05
AT>TA	1.3143312171450817e-05	1.60982199213322e-05	1.7589989820407936e-05
CC>AA	0.7952533298730851	0.09339895550642269	0.055854309173168984
CC>AG	0.023541053731211764	0.00403035521877918	0.20853931309357904
CC>AT	0.025396837622459048	0.0815696247600107	0.13479959778245246
CC>GA	0.005612597763888942	0.03401405359401224	0.03981511193039296
CC>GG	0.0034503366456260665	0.01054710212487521	0.009469520703205489
CC>GT	0.0007560267610477922	0.010047353035593004	0.006662237642959781
CC>TA	0.0035088709700691824	0.019214322285742044	0.02520359973961831
CC>TG	0.004129476874244915	0.013669851675398376	0.007755600293578198
CC>TT	0.006376188439259565	0.043899955769638836	0.04384750107530408
CG>AT	0.0009090397069445544	0.003741276951464556	0.006506891652963987
CG>GC	0.0007882750908265734	0.0013252062032370305	0.002605415571179037
CG>GT	0.0037175515975650343	0.009541787639677467	0.006189193736972811
CG>TA	1.3143312226020497e-05	1.609822004866146e-05	1.758998972036352e-05
CG>TC	0.011827024388662722	0.00620868670411415	0.009068086832579638
CG>TT	0.006247497809226026	0.0720559484553371	0.03983568152829335
CT>AA	0.011640779850914669	0.04373722469665284	0.045986292334164035
CT>AC	0.0005350449640582156	0.003460164147163596	0.0017115296143225577
CT>AG	0.0053367084547221565	0.003580112818195751	0.008222492973265503
CT>GA	7.217890296033146e-05	0.0035601492883051834	0.0027599414965288815
CT>GC	1.3143312171450817e-05	1.60982199213322e-05	1.7589989820407936e-05
CT>GG	0.00017250400725174586	0.003974128377176384	0.002495780404246943
CT>TA	0.0028442532157370694	0.028713338074771853	0.019899684759186586
CT>TC	1.3143312226020497e-05	1.609822004866146e-05	1.758998972036352e-05
CT>TG	0.0007275646719165252	0.010733377954897207	0.005558943098035343
GC>AA	0.0030636137932367473	0.06777367176354118	0.052967006461483945
GC>AG	0.0016835610845282645	0.017313288861332127	0.01003810261415083
GC>AT	0.001463725880051925	0.008146342100430956	0.004762763185557333
GC>CA	0.008688511026875859	0.008241506713493224	0.004225557378328517
GC>CG	1.3143312226020497e-05	1.609822004866146e-05	1.758998972036352e-05
GC>TA	0.0009648635499661395	0.0013037263697333401	0.0021110863490150676
TA>AT	0.0005693647689611226	0.0033291762359738187	0.0018607137875142144
TA>CG	1.3143312171450817e-05	1.60982199213322e-05	1.7589989820407936e-05
TA>CT	0.0004297452998480367	0.003535027330435696	0.0014594830220767108
TA>GC	1.3143312171450817e-05	1.60982199213322e-05	1.7589989820407936e-05
TA>GG	1.3143312226020497e-05	1.609822004866146e-05	1.758998972036352e-05
TA>GT	0.0010702446909658647	0.0056558233664407	0.003936492441358439
TC>AA	0.00551785156251297	0.06293832060877434	0.029135268746445037
TC>AG	0.0021290494338381902	0.009116278201518639	0.008558694551886105
TC>AT	0.0028026251202288677	0.013505092421620759	0.004317410475138104
TC>CA	0.0020488924762747727	0.008267696854807128	0.012851052830779964
TC>CG	1.3143312226020497e-05	1.609822004866146e-05	1.758998972036352e-05
TC>CT	0.0036085031561117376	0.013273706563202339	0.00992859455544135
TC>GA	0.0008289178691711641	0.002205041638339935	0.0018240703894457512
TC>GG	0.0004327450254800169	0.0015532685165726434	0.003852128577768781
TC>GT	0.0016187826423515617	0.000532968736638395	0.0007414121711713051
