MutationType	DBS78A	DBS78B	DBS78C
AC>CA	4.33E-04	1.22E-03	1.18E-03
AC>CG	1.28E-07	3.17E-07	3.18E-07
AC>CT	2.63E-04	9.47E-04	8.56E-04
AC>GA	2.55E-04	6.95E-04	6.04E-04
AC>GG	1.28E-07	3.17E-07	3.18E-07
AC>GT	1.28E-07	3.17E-07	3.18E-07
AC>TA	2.91E-04	1.01E-03	9.75E-04
AC>TG	1.28E-07	3.17E-07	3.18E-07
AC>TT	1.69E-04	8.12E-04	7.59E-04
AT>CA	1.28E-07	3.17E-07	3.18E-07
AT>CC	1.28E-07	3.17E-07	3.18E-07
AT>CG	1.28E-07	3.17E-07	3.18E-07
AT>GA	1.63E-04	4.81E-04	4.04E-04
AT>GC	1.28E-07	3.17E-07	3.18E-07
AT>TA	1.28E-07	3.17E-07	3.18E-07
CC>AA	6.09E-03	1.50E-02	1.21E-02
CC>AG	4.48E-03	1.89E-03	1.21E-02
CC>AT	3.77E-03	1.18E-02	1.29E-02
CC>GA	1.10E-03	4.35E-03	4.50E-03
CC>GG	5.04E-04	1.52E-03	1.38E-03
CC>GT	2.49E-04	1.17E-03	1.09E-03
CC>TA	8.35E-04	2.77E-03	3.02E-03
CC>TG	5.67E-04	1.79E-03	1.42E-03
CC>TT	1.28E-03	5.27E-03	5.09E-03
CG>AT	1.85E-04	6.98E-04	8.10E-04
CG>GC	1.69E-04	3.79E-04	4.86E-04
CG>GT	5.05E-04	1.36E-03	1.15E-03
CG>TA	1.28E-07	3.17E-07	3.18E-07
CG>TC	9.28E-04	1.60E-03	1.79E-03
CG>TT	1.52E-03	6.51E-03	5.40E-03
CT>AA	1.79E-03	5.82E-03	5.83E-03
CT>AC	1.67E-04	5.66E-04	3.66E-04
CT>AG	5.67E-04	9.40E-04	1.43E-03
CT>GA	4.75E-05	5.35E-04	4.70E-04
CT>GC	1.28E-07	3.17E-07	3.18E-07
CT>GG	7.50E-05	6.45E-04	5.24E-04
CT>TA	6.83E-04	3.18E-03	2.83E-03
CT>TC	1.28E-07	3.17E-07	3.18E-07
CT>TG	2.04E-04	1.18E-03	9.46E-04
GC>AA	9.62E-04	6.96E-03	6.12E-03
GC>AG	3.77E-04	2.08E-03	1.54E-03
GC>AT	2.63E-04	1.13E-03	9.61E-04
GC>CA	6.77E-04	1.42E-03	1.12E-03
GC>CG	1.28E-07	3.17E-07	3.18E-07
GC>TA	1.75E-04	3.65E-04	4.58E-04
TA>AT	1.52E-04	5.52E-04	3.83E-04
TA>CG	1.28E-07	3.17E-07	3.18E-07
TA>CT	1.34E-04	6.76E-04	3.56E-04
TA>GC	1.28E-07	3.17E-07	3.18E-07
TA>GG	1.28E-07	3.17E-07	3.18E-07
TA>GT	2.46E-04	7.34E-04	6.51E-04
TC>AA	1.31E-03	6.03E-03	4.44E-03
TC>AG	3.43E-04	1.42E-03	1.21E-03
TC>AT	4.37E-04	1.62E-03	8.77E-04
TC>CA	4.40E-04	1.33E-03	1.42E-03
TC>CG	1.28E-07	3.17E-07	3.18E-07
TC>CT	5.26E-04	1.88E-03	1.82E-03
TC>GA	1.83E-04	4.69E-04	5.12E-04
TC>GG	1.34E-04	3.53E-04	6.68E-04
TC>GT	1.92E-04	2.63E-04	2.95E-04
TG>AA	8.00E-04	2.87E-03	2.67E-03
TG>AC	1.48E-04	5.20E-04	5.29E-04
TG>AT	1.44E-03	4.82E-03	4.44E-03
TG>CA	1.26E-04	6.12E-04	2.63E-04
TG>CC	1.28E-07	3.17E-07	3.18E-07
TG>CT	2.44E-03	1.09E-02	7.01E-03
TG>GA	2.26E-04	9.95E-04	1.03E-03
TG>GC	1.28E-07	3.17E-07	3.18E-07
TG>GT	7.18E-04	1.38E-03	1.31E-03
TT>AA	5.32E-04	1.42E-03	1.47E-03
TT>AC	1.93E-04	7.62E-04	7.35E-04
TT>AG	1.12E-04	3.12E-04	4.83E-04
TT>CA	2.10E-04	8.17E-04	7.45E-04
TT>CC	1.28E-07	3.17E-07	3.18E-07
TT>CG	1.28E-07	3.17E-07	3.18E-07
TT>GA	1.43E-04	4.19E-04	4.08E-04
TT>GC	1.28E-07	3.17E-07	3.18E-07
TT>GG	1.28E-07	3.17E-07	3.18E-07
