Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	16	0.991	8.076	50.475%	2.106	18.762%	0.37451	0.991
TCGA_38_4626_01A	3	0.668	3.457	115.233%	1.29	74.478%	1.39931	0.651
TCGA_38_4631_01A	14	0.956	9.382	67.014%	2.115	31.184%	0.65919	0.954
TCGA_38_7271_01A	1	0.046	1.979	197.9%	1.015	101.5%	4.5701	-0.013
TCGA_44_2655_01A	2	1.0	0.277	13.85%	0.142	7.1%	0.07188	1.0
TCGA_44_2657_01A	8	0.987	2.981	37.262%	1.078	17.487%	0.43005	0.987
TCGA_44_2659_01A	15	0.95	10.061	67.073%	2.629	33.661%	0.65117	0.949
TCGA_44_3396_01A	1	1.0	0.139	13.9%	0.071	7.1%	0.07188	1.0
TCGA_44_3917_01A	6	0.854	4.772	79.533%	1.471	52.008%	0.7945	0.844
TCGA_44_3918_01A	28	0.993	10.259	36.639%	2.406	12.408%	0.3782	0.993
TCGA_44_4112_01A	1	0.065	1.971	197.1%	1.011	101.1%	4.21748	0.01
TCGA_44_5644_01A	14	0.864	12.299	87.85%	2.666	50.383%	0.85514	0.85
TCGA_44_6145_01A	7	0.975	5.154	73.629%	1.634	31.446%	0.54243	0.976
TCGA_44_6147_01A	2	1.0	0.277	13.85%	0.142	7.1%	0.07188	1.0
TCGA_44_6774_01A	6	0.881	4.71	78.5%	1.508	47.687%	1.01663	0.875
TCGA_44_6776_01A	3	1.0	0.416	13.867%	0.213	7.1%	0.07188	1.0
TCGA_44_6779_01A	2	0.72	1.966	98.3%	0.981	69.367%	1.55575	0.712
TCGA_44_7661_01A	3	0.6	3.72	124.0%	1.388	80.136%	1.8807	0.578
TCGA_44_7667_01A	10	0.867	8.073	80.73%	1.997	49.925%	0.90369	0.855
TCGA_44_7670_01A	15	0.984	7.356	49.04%	1.757	18.624%	0.41662	0.983
TCGA_44_7672_01A	3	0.6	3.589	119.633%	1.397	80.656%	1.69229	0.579
TCGA_44_8117_01A	22	0.984	10.573	48.059%	2.217	21.533%	0.3595	0.984
TCGA_44_A4SU_01A	2	0.931	1.273	63.65%	0.589	41.649%	0.45698	0.93
TCGA_49_4487_01A	6	0.973	2.697	44.95%	1.022	24.089%	0.53561	0.972
TCGA_49_4488_01A	2	0.909	1.293	64.65%	0.635	44.901%	0.49557	0.907
TCGA_49_4505_01A	2	0.715	1.981	99.05%	0.989	69.933%	1.64641	0.706
TCGA_49_4506_01A	5	0.901	5.354	107.08%	1.661	55.367%	0.8964	0.906
TCGA_49_4507_01A	5	0.712	5.296	105.92%	1.574	70.391%	1.31306	0.688
TCGA_49_6744_01A	7	0.9	5.513	78.757%	1.58	43.821%	0.9596	0.895
TCGA_49_6761_01A	2	0.351	3.55	177.5%	1.325	93.692%	2.54012	0.317
TCGA_49_6767_01A	4	0.823	3.868	96.7%	1.62	66.136%	1.88961	0.818
TCGA_50_5051_01A	2	1.0	0.277	13.85%	0.142	7.1%	0.07188	1.0
TCGA_50_5941_01A	7	0.703	8.773	125.329%	2.35	78.333%	1.85427	0.681
TCGA_50_5942_01A	2	0.673	2.477	123.85%	1.057	74.741%	2.40688	0.663
TCGA_50_6590_01A	19	0.978	11.032	58.063%	2.778	24.459%	0.66525	0.977
