MutationType	ID83A
1:Del:C:0	5.70E-13
1:Del:C:1	6.81E-04
1:Del:C:2	5.82E-04
1:Del:C:3	3.80E-04
1:Del:C:4	3.62E-04
1:Del:C:5	2.32E-04
1:Del:T:0	5.69E-13
1:Del:T:1	4.26E-04
1:Del:T:2	2.33E-04
1:Del:T:3	2.04E-04
1:Del:T:4	1.95E-04
1:Del:T:5	1.88E-04
1:Ins:C:0	2.10E-04
1:Ins:C:1	1.62E-04
1:Ins:C:2	1.50E-04
1:Ins:C:3	1.46E-04
1:Ins:C:4	1.49E-04
1:Ins:C:5	2.33E-04
1:Ins:T:0	2.94E-04
1:Ins:T:1	4.06E-04
1:Ins:T:2	3.07E-04
1:Ins:T:3	1.59E-04
1:Ins:T:4	1.13E-04
1:Ins:T:5	2.31E-04
2:Del:R:0	1.76E-04
2:Del:R:1	1.38E-04
2:Del:R:2	5.85E-13
2:Del:R:3	3.58E-05
2:Del:R:4	5.80E-13
2:Del:R:5	5.79E-13
3:Del:R:0	1.49E-04
3:Del:R:1	5.60E-05
3:Del:R:2	5.88E-13
3:Del:R:3	5.78E-13
3:Del:R:4	5.98E-13
3:Del:R:5	5.91E-13
4:Del:R:0	1.60E-04
4:Del:R:1	5.73E-05
4:Del:R:2	5.83E-13
4:Del:R:3	5.98E-13
4:Del:R:4	5.85E-13
4:Del:R:5	5.96E-13
5:Del:R:0	4.25E-04
5:Del:R:1	5.95E-13
5:Del:R:2	5.82E-13
5:Del:R:3	5.66E-13
5:Del:R:4	5.86E-13
5:Del:R:5	5.65E-13
2:Ins:R:0	2.42E-04
2:Ins:R:1	1.08E-04
2:Ins:R:2	4.33E-05
2:Ins:R:3	3.94E-05
2:Ins:R:4	3.66E-05
2:Ins:R:5	5.85E-13
3:Ins:R:0	2.32E-04
3:Ins:R:1	6.92E-05
3:Ins:R:2	3.56E-05
3:Ins:R:3	5.93E-13
3:Ins:R:4	5.77E-13
3:Ins:R:5	5.90E-13
4:Ins:R:0	2.34E-04
4:Ins:R:1	5.04E-05
4:Ins:R:2	5.89E-13
4:Ins:R:3	3.89E-05
4:Ins:R:4	5.80E-13
4:Ins:R:5	5.96E-13
5:Ins:R:0	5.63E-04
5:Ins:R:1	1.87E-04
5:Ins:R:2	4.05E-05
5:Ins:R:3	5.80E-13
5:Ins:R:4	5.72E-13
5:Ins:R:5	5.84E-13
2:Del:M:1	2.10E-04
3:Del:M:1	1.09E-04
3:Del:M:2	8.65E-05
4:Del:M:1	1.07E-04
4:Del:M:2	5.99E-05
4:Del:M:3	3.01E-05
5:Del:M:1	2.89E-04
5:Del:M:2	1.42E-04
5:Del:M:3	1.11E-04
5:Del:M:4	3.74E-05
5:Del:M:5	5.67E-13
