MutationType	ID83A	ID83B	ID83C
1:Del:C:0	1.61E-07	2.13E-07	2.05E-08
1:Del:C:1	4.23E-03	6.50E-03	6.25E-04
1:Del:C:2	4.82E-03	5.78E-03	6.50E-04
1:Del:C:3	2.60E-03	4.12E-03	8.33E-09
1:Del:C:4	1.89E-03	4.20E-03	4.53E-04
1:Del:C:5	1.29E-03	3.07E-03	2.06E-08
1:Del:T:0	1.61E-07	2.13E-07	2.05E-08
1:Del:T:1	2.55E-03	3.95E-03	5.43E-04
1:Del:T:2	1.07E-03	1.45E-03	6.15E-05
1:Del:T:3	7.17E-04	1.68E-03	9.46E-09
1:Del:T:4	8.05E-04	1.58E-03	1.56E-04
1:Del:T:5	5.96E-04	1.63E-03	2.25E-04
1:Ins:C:0	4.27E-04	7.44E-04	9.49E-04
1:Ins:C:1	5.14E-04	7.35E-04	4.66E-04
1:Ins:C:2	5.47E-04	1.08E-03	1.59E-04
1:Ins:C:3	5.45E-04	8.48E-04	9.51E-09
1:Ins:C:4	3.85E-04	1.11E-03	2.82E-04
1:Ins:C:5	6.87E-04	1.79E-03	1.13E-04
1:Ins:T:0	1.09E-03	1.70E-03	9.32E-04
1:Ins:T:1	1.98E-03	2.75E-03	6.51E-04
1:Ins:T:2	1.30E-03	1.83E-03	3.37E-04
1:Ins:T:3	5.37E-04	8.36E-04	2.74E-04
1:Ins:T:4	4.00E-04	8.34E-04	1.44E-04
1:Ins:T:5	6.01E-04	2.13E-03	1.30E-08
2:Del:R:0	7.12E-04	1.46E-03	3.52E-04
2:Del:R:1	3.89E-04	8.28E-04	8.89E-09
2:Del:R:2	1.61E-07	2.13E-07	2.05E-08
2:Del:R:3	1.92E-05	1.44E-04	2.47E-08
2:Del:R:4	1.61E-07	2.13E-07	2.05E-08
2:Del:R:5	1.61E-07	2.13E-07	2.05E-08
3:Del:R:0	6.01E-04	1.21E-03	1.83E-04
3:Del:R:1	1.16E-04	1.85E-04	2.18E-08
3:Del:R:2	1.61E-07	2.13E-07	2.05E-08
3:Del:R:3	1.61E-07	2.13E-07	2.05E-08
3:Del:R:4	1.61E-07	2.13E-07	2.05E-08
3:Del:R:5	1.61E-07	2.13E-07	2.05E-08
4:Del:R:0	5.74E-04	1.16E-03	5.94E-04
4:Del:R:1	1.48E-04	2.45E-04	1.81E-08
4:Del:R:2	1.61E-07	2.13E-07	2.05E-08
4:Del:R:3	1.61E-07	2.13E-07	2.05E-08
4:Del:R:4	1.61E-07	2.13E-07	2.05E-08
4:Del:R:5	1.61E-07	2.13E-07	2.05E-08
5:Del:R:0	4.45E-03	6.88E-03	7.13E-04
5:Del:R:1	1.61E-07	2.13E-07	2.05E-08
5:Del:R:2	1.61E-07	2.13E-07	2.05E-08
5:Del:R:3	1.61E-07	2.13E-07	2.05E-08
5:Del:R:4	1.61E-07	2.13E-07	2.05E-08
5:Del:R:5	1.61E-07	2.13E-07	2.05E-08
2:Ins:R:0	5.60E-04	8.49E-04	1.36E-03
2:Ins:R:1	2.36E-04	4.72E-04	1.77E-04
2:Ins:R:2	8.96E-05	1.29E-04	2.38E-08
2:Ins:R:3	7.44E-05	1.18E-04	2.53E-08
2:Ins:R:4	1.19E-05	1.67E-04	2.03E-08
2:Ins:R:5	1.61E-07	2.13E-07	2.05E-08
3:Ins:R:0	3.50E-05	5.65E-07	1.03E-03
3:Ins:R:1	1.80E-04	2.32E-04	1.61E-08
3:Ins:R:2	8.58E-05	9.04E-05	8.48E-05
3:Ins:R:3	1.61E-07	2.13E-07	2.05E-08
3:Ins:R:4	1.61E-07	2.13E-07	2.05E-08
3:Ins:R:5	1.61E-07	2.13E-07	2.05E-08
4:Ins:R:0	1.42E-07	2.00E-07	9.80E-04
4:Ins:R:1	6.22E-05	1.66E-04	2.20E-04
4:Ins:R:2	1.61E-07	2.13E-07	2.05E-08
4:Ins:R:3	7.00E-05	1.15E-04	8.11E-05
4:Ins:R:4	1.61E-07	2.13E-07	2.05E-08
4:Ins:R:5	1.61E-07	2.13E-07	2.05E-08
5:Ins:R:0	9.67E-08	6.94E-08	2.51E-03
5:Ins:R:1	9.55E-04	1.65E-03	1.21E-08
5:Ins:R:2	1.06E-04	1.47E-04	2.37E-08
5:Ins:R:3	1.61E-07	2.13E-07	2.05E-08
5:Ins:R:4	1.61E-07	2.13E-07	2.05E-08
5:Ins:R:5	1.61E-07	2.13E-07	2.05E-08
2:Del:M:1	8.35E-04	1.83E-03	5.75E-04
3:Del:M:1	2.71E-04	4.21E-04	2.58E-04
3:Del:M:2	3.50E-05	3.12E-04	2.48E-04
4:Del:M:1	4.74E-04	8.09E-04	2.16E-04
4:Del:M:2	1.26E-04	2.82E-04	1.08E-04
4:Del:M:3	5.13E-05	1.05E-04	2.31E-08
5:Del:M:1	2.69E-03	3.93E-03	4.27E-04
5:Del:M:2	4.46E-04	6.81E-04	3.03E-04
5:Del:M:3	3.62E-04	5.75E-04	1.11E-04
5:Del:M:4	6.44E-05	1.26E-04	2.38E-08
5:Del:M:5	1.61E-07	2.13E-07	2.05E-08
