Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	15	0.86	14.938	99.587%	3.254	53.495%	0.97096	0.851
TCGA_38_4626_01A	11	0.915	7.026	63.873%	1.76	40.377%	0.47791	0.907
TCGA_38_4627_01A	3	0.318	5.446	181.533%	2.12	94.809%	2.46922	0.285
TCGA_38_4631_01A	34	0.976	15.144	44.541%	3.138	22.189%	0.33912	0.974
TCGA_38_7271_01A	4	0.74	4.26	106.5%	1.67	68.177%	0.86822	0.73
TCGA_44_2655_01A	10	0.503	13.321	133.21%	3.29	87.929%	1.59586	0.435
TCGA_44_2657_01A	9	0.921	7.239	80.433%	2.293	42.58%	0.728	0.919
TCGA_44_2659_01A	28	0.658	26.695	95.339%	6.765	75.635%	0.77477	0.6
TCGA_44_3396_01A	11	0.733	12.147	110.427%	3.014	69.146%	0.93798	0.709
TCGA_44_3917_01A	4	0.953	3.376	84.4%	1.553	49.11%	0.56398	0.957
TCGA_44_3918_01A	38	0.96	16.733	44.034%	4.282	28.358%	0.28967	0.956
TCGA_44_4112_01A	21	0.873	14.467	68.89%	3.127	48.836%	0.53872	0.852
TCGA_44_5644_01A	41	0.929	22.952	55.98%	5.086	37.193%	0.36366	0.921
TCGA_44_6145_01A	11	0.927	9.42	85.636%	2.685	45.385%	0.67875	0.927
TCGA_44_6147_01A	7	0.775	7.445	106.357%	2.156	65.006%	0.93555	0.762
TCGA_44_6774_01A	10	0.864	10.01	100.1%	2.484	52.959%	0.88218	0.858
TCGA_44_6775_01A	4	0.532	5.64	141.0%	1.9	95.0%	2.22233	0.507
TCGA_44_6776_01A	13	0.834	10.126	77.892%	2.646	55.173%	0.9388	0.816
TCGA_44_6779_01A	5	0.711	5.721	114.42%	1.861	70.339%	1.24078	0.695
TCGA_44_7661_01A	11	0.919	8.405	76.409%	2.259	41.949%	0.64789	0.915
TCGA_44_7667_01A	19	0.892	12.617	66.405%	3.293	45.233%	0.76392	0.882
TCGA_44_7670_01A	46	0.895	30.221	65.698%	7.662	45.149%	0.46529	0.884
TCGA_44_7672_01A	15	0.838	14.085	93.9%	2.959	56.946%	0.71852	0.823
TCGA_44_8117_01A	23	0.933	16.244	70.626%	3.753	36.979%	0.61121	0.929
TCGA_44_A47G_01A	17	0.892	13.886	81.682%	2.915	45.525%	0.6522	0.882
TCGA_44_A4SU_01A	5	0.793	6.291	125.82%	2.121	63.951%	1.88915	0.788
TCGA_49_4487_01A	24	0.842	17.005	70.854%	4.897	54.078%	0.47511	0.826
TCGA_49_4488_01A	16	0.798	14.029	87.681%	4.36	60.462%	0.64147	0.784
TCGA_49_4490_01A	4	0.396	6.571	164.275%	1.84	92.0%	1.75774	0.339
TCGA_49_4505_01A	11	0.849	8.84	80.364%	2.064	53.292%	0.68805	0.831
TCGA_49_4506_01A	9	0.669	9.531	105.9%	2.429	80.967%	1.02478	0.628
TCGA_49_4507_01A	8	0.629	10.099	126.238%	2.704	78.058%	1.32338	0.595
TCGA_49_6744_01A	9	0.731	9.46	105.111%	2.554	70.835%	1.39726	0.707
TCGA_49_6761_01A	5	0.527	6.885	137.7%	2.251	85.08%	1.63452	0.495
TCGA_49_6767_01A	17	0.93	10.364	60.965%	2.413	36.798%	0.50394	0.923
TCGA_50_5051_01A	9	0.625	10.346	114.956%	2.896	80.321%	1.33237	0.589
TCGA_50_5941_01A	26	0.773	22.224	85.477%	5.594	65.029%	0.81728	0.743
TCGA_50_5942_01A	5	0.587	6.366	127.32%	2.148	81.187%	1.53979	0.562
TCGA_50_6590_01A	33	0.843	23.798	72.115%	5.973	53.857%	0.50476	0.822
TCGA_50_6592_01A	15	0.794	14.201	94.673%	3.312	61.502%	0.81792	0.771
TCGA_50_6593_01A	14	0.741	14.627	104.479%	3.061	68.446%	1.0488	0.702
TCGA_50_6595_01A	4	0.644	5.186	129.65%	1.916	78.22%	1.12264	0.632
TCGA_53_7624_01A	24	0.924	14.497	60.404%	3.37	39.175%	0.48504	0.916
TCGA_53_7813_01A	9	0.745	8.923	99.144%	2.421	67.146%	1.00559	0.721
TCGA_55_6543_01A	2	0.473	3.213	160.65%	1.249	88.318%	2.34882	0.453
TCGA_55_6970_01A	5	0.882	3.402	68.04%	1.251	47.283%	0.68042	0.876
TCGA_55_6971_01A	6	0.715	6.86	114.333%	1.984	70.145%	1.02731	0.695
TCGA_55_6979_01A	7	0.738	7.019	100.271%	2.239	67.508%	1.26374	0.72
TCGA_55_6981_01A	4	0.748	4.481	112.025%	1.366	68.3%	1.60194	0.736
TCGA_55_6985_01A	15	0.879	10.394	69.293%	3.074	50.536%	0.68846	0.87
TCGA_55_7281_01A	17	0.946	9.144	53.788%	2.025	32.426%	0.43054	0.941
TCGA_55_7573_01A	6	0.814	5.496	91.6%	1.645	58.16%	1.17057	0.802
TCGA_55_7574_01A	9	0.812	8.805	97.833%	2.322	59.954%	1.39467	0.798
TCGA_55_7725_01A	12	0.844	11.437	95.308%	3.152	54.056%	0.83769	0.835
TCGA_55_7726_01A	4	0.705	4.897	122.425%	1.739	70.994%	3.03362	0.693
TCGA_55_7728_01A	2	0.298	3.503	175.15%	1.36	96.167%	2.6232	0.262
TCGA_55_7911_01A	12	0.835	11.574	96.45%	3.129	55.313%	1.21615	0.825
TCGA_55_7914_01A	5	0.576	7.147	142.94%	1.837	82.153%	1.31119	0.54
TCGA_55_7995_01A	19	0.754	19.01	100.053%	4.419	65.875%	0.78461	0.723
TCGA_55_8096_01A	7	0.752	7.661	109.443%	2.009	66.967%	1.05812	0.733
TCGA_55_8097_01A	6	0.678	6.95	115.833%	2.217	78.383%	1.54422	0.659
TCGA_55_8203_01A	15	0.916	11.07	73.8%	2.49	42.089%	0.59719	0.91
TCGA_55_8208_01A	12	0.872	11.578	96.483%	3.346	55.767%	0.81774	0.871
TCGA_55_8299_01A	6	0.873	5.303	88.383%	1.723	49.739%	1.5132	0.868
TCGA_55_8506_01A	160	0.923	59.107	36.942%	17.816	38.749%	0.13189	0.91
TCGA_55_8510_01A	18	0.837	16.376	90.978%	4.098	54.762%	0.72939	0.823
TCGA_55_8511_01A	22	0.775	20.311	92.323%	5.26	63.787%	0.90255	0.751
TCGA_55_8616_01A	283	0.999	25.561	9.032%	7.552	4.211%	0.02493	0.999
TCGA_55_A48X_01A	19	0.941	14.002	73.695%	3.042	34.225%	0.73274	0.937
TCGA_55_A48Z_01A	1	0.627	1.631	163.1%	0.847	84.7%	1.69082	0.635
TCGA_55_A492_01A	75	0.986	33.088	44.117%	7.368	17.949%	0.29186	0.986
TCGA_55_A493_01A	97	0.996	22.748	23.452%	5.651	9.375%	0.15787	0.996
TCGA_55_A494_01A	9	0.712	10.081	112.011%	2.358	71.096%	0.96349	0.68
TCGA_62_A46O_01A	115	0.993	32.578	28.329%	6.787	12.765%	0.1481	0.993
TCGA_62_A46R_01A	11	0.727	10.721	97.464%	2.832	68.686%	0.969	0.696
TCGA_64_1679_01A	21	0.895	15.656	74.552%	4.377	45.387%	0.7899	0.888
TCGA_64_1681_01A	5	0.293	8.349	166.98%	2.222	99.371%	2.33668	0.213
TCGA_64_5781_01A	43	0.955	20.414	47.474%	4.765	29.723%	0.274	0.95
TCGA_67_3770_01A	9	0.796	9.142	101.578%	2.494	60.488%	1.47184	0.782
TCGA_67_3774_01A	7	0.357	10.535	150.5%	2.875	95.833%	1.79592	0.28
TCGA_67_6217_01A	8	0.721	8.753	109.412%	2.191	69.286%	1.29315	0.693
TCGA_69_7973_01A	16	0.763	15.464	96.65%	3.312	64.954%	0.81251	0.726
TCGA_69_7974_01A	19	0.755	20.541	108.111%	4.567	73.131%	1.2035	0.727
TCGA_69_7979_01A	43	0.94	24.739	57.533%	5.112	35.192%	0.53184	0.933
TCGA_69_7980_01A	29	0.941	17.01	58.655%	3.683	34.049%	0.67059	0.935
TCGA_73_4662_01A	12	0.898	9.788	81.567%	2.39	45.167%	0.95521	0.892
TCGA_73_4666_01A	16	0.946	9.229	57.681%	2.277	32.866%	0.51212	0.942
TCGA_73_4670_01A	29	0.851	21.818	75.234%	4.766	52.956%	0.677	0.828
TCGA_73_7498_01A	6	0.7	6.597	109.95%	1.755	71.648%	1.09563	0.671
TCGA_78_7145_01A	6	0.631	8.378	139.633%	2.786	80.425%	1.25774	0.623
TCGA_78_7146_01A	14	0.891	10.089	72.064%	2.446	46.225%	0.52635	0.882
TCGA_78_7147_01A	21	0.89	17.106	81.457%	4.159	45.651%	0.60452	0.882
TCGA_78_7153_01A	8	0.871	7.677	95.962%	2.883	61.466%	0.71358	0.879
TCGA_78_7158_01A	13	0.853	13.915	107.038%	4.33	57.352%	0.90954	0.851
TCGA_78_7159_01A	22	0.817	18.729	85.132%	4.321	57.742%	0.71752	0.794
TCGA_78_7161_01A	8	0.708	8.896	111.2%	2.653	70.904%	1.51809	0.687
TCGA_78_7220_01A	32	0.954	18.01	56.281%	4.532	31.424%	0.45872	0.951
TCGA_83_5908_01A	9	0.934	7.165	79.611%	1.956	40.785%	0.6037	0.933
TCGA_86_6851_01A	37	0.968	17.392	47.005%	3.837	25.467%	0.38337	0.965
TCGA_86_7954_01A	8	0.846	7.14	89.25%	1.993	53.265%	1.50261	0.837
TCGA_86_8056_01A	7	0.645	8.406	120.086%	2.023	76.462%	1.22466	0.602
TCGA_86_8074_01A	4	0.364	6.288	157.2%	1.917	95.85%	2.70831	0.311
TCGA_91_6830_01A	9	0.577	10.937	121.522%	2.557	85.233%	1.25146	0.514
TCGA_91_6836_01A	12	0.561	15.066	125.55%	3.534	83.297%	1.37205	0.494
TCGA_91_6840_01A	6	0.566	7.787	129.783%	2.338	82.661%	1.48731	0.532
TCGA_91_6847_01A	6	0.493	8.428	140.467%	2.489	87.999%	1.73279	0.45
TCGA_95_7039_01A	67	0.952	31.709	47.327%	6.841	30.748%	0.24378	0.946
TCGA_95_7043_01A	62	0.985	21.555	34.766%	4.468	17.365%	0.24083	0.984
TCGA_95_7948_01A	7	0.707	7.849	112.129%	2.123	70.767%	1.13157	0.681
TCGA_95_A4VK_01A	7	0.913	5.785	82.643%	2.144	49.187%	0.58457	0.913
TCGA_95_A4VN_01A	24	0.88	16.916	70.483%	3.738	47.473%	0.61026	0.864
TCGA_95_A4VP_01A	5	0.776	5.621	112.42%	1.694	64.027%	1.26184	0.765
TCGA_97_7547_01A	7	0.575	8.271	118.157%	2.477	82.567%	1.23373	0.535
TCGA_97_7553_01A	8	0.744	8.344	104.3%	2.119	67.009%	1.00751	0.719
TCGA_97_7941_01A	7	0.763	8.396	119.943%	2.228	67.177%	1.25308	0.752
TCGA_97_8175_01A	2	0.309	3.486	174.3%	1.354	95.742%	2.21862	0.274
TCGA_97_A4M0_01A	17	0.826	15.57	91.588%	4.134	56.785%	0.78535	0.812
TCGA_97_A4M1_01A	1	0.627	1.631	163.1%	0.847	84.7%	1.69082	0.635
TCGA_97_A4M3_01A	6	0.714	6.609	110.15%	1.992	70.428%	1.65515	0.694
TCGA_99_7458_01A	23	0.857	16.483	71.665%	4.281	51.537%	0.54661	0.841
TCGA_J2_8194_01A	5	0.765	5.463	109.26%	1.785	67.467%	0.94917	0.757
TCGA_J2_A4AD_01A	17	0.898	12.172	71.6%	2.825	44.119%	0.82406	0.888
TCGA_J2_A4AG_01A	8	0.704	9.649	120.612%	2.824	75.475%	2.41474	0.686
TCGA_L4_A4E5_01A	7	0.944	4.552	65.029%	1.38	35.631%	0.5487	0.942
TCGA_L9_A443_01A	14	0.808	13.38	95.571%	3.533	58.883%	1.3135	0.793
TCGA_L9_A444_01A	36	0.91	21.877	60.769%	4.981	42.401%	0.39287	0.9
TCGA_MP_A4T4_01A	17	0.829	14.174	83.376%	3.913	55.9%	0.80742	0.815
TCGA_MP_A4T9_01A	1	0.627	1.631	163.1%	0.847	84.7%	1.69082	0.635
TCGA_MP_A4TF_01A	18	0.851	14.131	78.506%	3.569	52.622%	0.68755	0.836
TCGA_MP_A4TH_01A	7	0.828	6.496	92.8%	2.277	58.792%	0.73808	0.822
TCGA_NJ_A4YQ_01A	48	0.967	23.908	49.808%	5.333	27.953%	0.32025	0.965
TCGA_NJ_A55O_01A	7	0.918	4.714	67.343%	1.438	39.883%	0.62476	0.914
TCGA_O1_A52J_01A	9	0.634	10.088	112.089%	2.388	79.6%	1.10987	0.58
