Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
TCGA_38_4625_01A	1	4	4	3	0	0	3	0
TCGA_38_4626_01A	0	3	3	0	2	2	1	0
TCGA_38_4627_01A	0	0	0	0	0	3	0	0
TCGA_38_4631_01A	2	15	8	1	3	4	0	1
TCGA_38_7271_01A	0	1	2	0	0	0	1	0
TCGA_44_2655_01A	0	0	1	0	7	0	0	2
TCGA_44_2657_01A	0	6	1	0	0	2	0	0
TCGA_44_2659_01A	1	0	15	1	1	6	4	0
TCGA_44_3396_01A	0	1	3	6	0	0	0	1
TCGA_44_3917_01A	0	3	1	0	0	0	0	0
TCGA_44_3918_01A	0	12	13	0	7	5	1	0
TCGA_44_4112_01A	1	4	3	2	5	5	1	0
TCGA_44_5644_01A	3	11	2	5	7	7	5	1
TCGA_44_6145_01A	0	5	3	0	0	0	3	0
TCGA_44_6147_01A	0	2	0	0	0	0	1	4
TCGA_44_6774_01A	0	5	1	2	0	0	2	0
TCGA_44_6775_01A	2	0	0	0	1	1	0	0
TCGA_44_6776_01A	1	4	4	0	0	2	2	0
TCGA_44_6779_01A	0	1	3	0	1	0	0	0
TCGA_44_7661_01A	0	4	4	0	0	0	1	2
TCGA_44_7667_01A	0	7	3	0	0	5	3	1
TCGA_44_7670_01A	0	19	0	3	11	4	1	8
TCGA_44_7672_01A	1	2	1	3	0	4	4	0
TCGA_44_8117_01A	0	9	8	2	0	0	1	3
TCGA_44_A47G_01A	8	0	0	3	0	2	4	0
TCGA_44_A4SU_01A	0	3	0	0	0	0	0	2
TCGA_49_4487_01A	0	3	2	0	2	0	2	15
TCGA_49_4488_01A	1	3	11	0	1	0	0	0
TCGA_49_4490_01A	0	0	1	0	0	0	0	3
TCGA_49_4505_01A	1	1	0	0	0	2	3	4
TCGA_49_4506_01A	2	1	2	0	1	0	0	3
TCGA_49_4507_01A	0	1	3	0	0	4	0	0
TCGA_49_6744_01A	0	2	1	0	6	0	0	0
TCGA_49_6761_01A	0	0	0	0	0	4	1	0
TCGA_49_6767_01A	0	5	2	0	8	1	1	0
TCGA_50_5051_01A	0	2	0	0	1	3	0	3
TCGA_50_5941_01A	0	4	7	0	0	14	0	1
TCGA_50_5942_01A	1	1	0	0	0	3	0	0
TCGA_50_6590_01A	0	6	3	0	11	0	1	12
TCGA_50_6592_01A	0	3	1	5	2	4	0	0
TCGA_50_6593_01A	0	2	5	2	1	3	0	1
TCGA_50_6595_01A	0	0	0	0	0	1	0	3
TCGA_53_7624_01A	0	9	3	3	3	5	1	0
TCGA_53_7813_01A	0	2	2	1	2	0	2	0
TCGA_55_6543_01A	0	0	0	0	0	0	2	0
TCGA_55_6970_01A	0	2	1	0	2	0	0	0
TCGA_55_6971_01A	0	1	3	0	1	0	1	0
TCGA_55_6979_01A	0	2	1	0	4	0	0	0
TCGA_55_6981_01A	0	1	0	0	0	0	1	2
TCGA_55_6985_01A	0	7	1	0	4	3	0	0
TCGA_55_7281_01A	0	5	3	4	3	2	0	0
TCGA_55_7573_01A	0	2	2	0	0	0	2	0
TCGA_55_7574_01A	0	5	2	1	0	0	0	1
TCGA_55_7725_01A	0	6	0	1	4	0	1	0
TCGA_55_7726_01A	0	3	0	1	0	0	0	0
TCGA_55_7728_01A	0	0	0	0	0	0	0	2
TCGA_55_7911_01A	0	6	0	1	0	0	2	3
TCGA_55_7914_01A	0	0	1	1	2	0	1	0
TCGA_55_7995_01A	0	0	6	0	1	7	5	0
TCGA_55_8096_01A	1	1	1	0	0	0	4	0
TCGA_55_8097_01A	0	2	0	0	4	0	0	0
TCGA_55_8203_01A	1	4	5	2	2	0	1	0
TCGA_55_8208_01A	0	3	1	0	0	4	4	0
TCGA_55_8299_01A	0	4	2	0	0	0	0	0
TCGA_55_8506_01A	0	4	12	133	4	3	4	0
TCGA_55_8510_01A	0	6	0	1	7	4	0	0
TCGA_55_8511_01A	0	3	5	0	14	0	0	0
TCGA_55_8616_01A	266	3	1	0	4	5	4	0
TCGA_55_A48X_01A	12	0	1	0	1	2	3	0
TCGA_55_A48Z_01A	0	0	0	0	0	0	1	0
TCGA_55_A492_01A	56	10	0	5	0	2	2	0
TCGA_55_A493_01A	82	0	4	0	0	0	0	11
TCGA_55_A494_01A	0	1	1	2	0	0	1	4
TCGA_62_A46O_01A	71	12	10	6	6	6	3	1
TCGA_62_A46R_01A	1	2	1	2	3	0	0	2
TCGA_64_1679_01A	0	11	4	0	6	0	0	0
TCGA_64_1681_01A	0	0	0	5	0	0	0	0
TCGA_64_5781_01A	0	13	18	5	4	2	1	0
TCGA_67_3770_01A	4	5	0	0	0	0	0	0
TCGA_67_3774_01A	0	0	0	0	0	3	0	4
TCGA_67_6217_01A	0	2	0	1	0	3	2	0
TCGA_69_7973_01A	0	2	5	1	4	2	2	0
TCGA_69_7974_01A	0	4	9	1	0	0	0	5
TCGA_69_7979_01A	3	16	11	0	2	0	8	3
TCGA_69_7980_01A	0	9	9	0	0	8	3	0
TCGA_73_4662_01A	0	5	3	0	1	0	3	0
TCGA_73_4666_01A	0	7	3	0	2	0	1	3
TCGA_73_4670_01A	1	6	2	1	7	12	0	0
TCGA_73_7498_01A	0	1	0	1	0	2	2	0
TCGA_78_7145_01A	0	1	0	4	0	1	0	0
TCGA_78_7146_01A	1	3	4	0	0	2	1	3
TCGA_78_7147_01A	0	9	1	2	0	4	0	5
TCGA_78_7153_01A	0	0	0	0	0	0	6	2
TCGA_78_7158_01A	0	8	0	0	0	0	3	2
TCGA_78_7159_01A	0	4	1	2	6	1	8	0
TCGA_78_7161_01A	0	3	4	1	0	0	0	0
TCGA_78_7220_01A	1	16	6	2	0	4	3	0
TCGA_83_5908_01A	0	4	2	0	0	1	0	2
TCGA_86_6851_01A	0	13	11	0	0	7	0	6
TCGA_86_7954_01A	1	4	2	1	0	0	0	0
TCGA_86_8056_01A	0	1	0	1	4	0	1	0
TCGA_86_8074_01A	0	0	0	0	0	0	4	0
TCGA_91_6830_01A	0	1	2	4	1	0	0	1
TCGA_91_6836_01A	0	0	3	0	5	2	0	2
TCGA_91_6840_01A	0	1	0	2	0	2	1	0
TCGA_91_6847_01A	0	1	0	0	0	0	0	5
TCGA_95_7039_01A	1	17	19	10	7	11	1	1
TCGA_95_7043_01A	0	26	15	8	4	8	1	0
TCGA_95_7948_01A	0	1	2	0	0	0	4	0
TCGA_95_A4VK_01A	1	2	4	0	0	0	0	0
TCGA_95_A4VN_01A	0	3	7	0	4	4	3	3
TCGA_95_A4VP_01A	0	2	0	0	1	0	2	0
TCGA_97_7547_01A	0	1	0	0	0	4	0	2
TCGA_97_7553_01A	1	0	0	0	0	2	3	2
TCGA_97_7941_01A	1	2	0	0	0	0	4	0
TCGA_97_8175_01A	0	0	0	0	0	2	0	0
TCGA_97_A4M0_01A	0	5	2	2	8	0	0	0
TCGA_97_A4M1_01A	0	0	0	0	0	0	1	0
TCGA_97_A4M3_01A	2	3	0	0	0	0	0	1
TCGA_99_7458_01A	0	4	10	0	0	4	4	1
TCGA_J2_8194_01A	0	1	1	0	0	0	3	0
TCGA_J2_A4AD_01A	0	7	3	0	1	0	4	2
TCGA_J2_A4AG_01A	0	7	0	0	0	0	0	1
TCGA_L4_A4E5_01A	0	4	3	0	0	0	0	0
TCGA_L9_A443_01A	6	5	0	1	0	0	2	0
TCGA_L9_A444_01A	9	4	7	8	6	1	1	0
TCGA_MP_A4T4_01A	0	3	4	0	10	0	0	0
TCGA_MP_A4T9_01A	0	0	0	0	0	0	1	0
TCGA_MP_A4TF_01A	0	3	4	1	0	1	1	8
TCGA_MP_A4TH_01A	0	2	4	0	0	0	1	0
TCGA_NJ_A4YQ_01A	0	14	12	6	10	5	1	0
TCGA_NJ_A55O_01A	0	4	1	0	0	2	0	0
TCGA_O1_A52J_01A	0	1	0	0	4	2	2	0
