NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	10.493	79.281	3.368	53.944	0.742	0.778	20000.0
2	10.545	74.636	3.388	51.325	0.66	0.822	20000.0
3	10.346	75.068	3.366	51.624	0.65	0.827	20000.0
4	10.367	76.43	3.229	52.534	0.7	0.806	30000.0
5	10.713	76.769	3.485	53.357	0.711	0.802	40000.0
6	10.971	79.749	3.543	55.941	0.712	0.786	30000.0
7	10.964	79.471	3.516	54.831	0.721	0.79	30000.0
8	10.339	76.407	3.304	53.302	0.711	0.8	20000.0
9	11.214	81.351	3.541	54.221	0.718	0.792	30000.0
10	10.914	76.992	3.513	53.328	0.69	0.804	20000.0
11	10.655	78.895	3.495	53.415	0.697	0.808	20000.0
12	10.869	77.705	3.502	52.899	0.712	0.795	30000.0
13	10.456	73.267	3.355	50.451	0.664	0.827	30000.0
14	11.717	88.252	3.744	59.419	0.784	0.756	20000.0
15	10.589	79.309	3.374	54.062	0.715	0.792	30000.0
16	10.552	74.392	3.337	51.177	0.687	0.811	20000.0
17	10.463	77.682	3.353	53.905	0.715	0.788	30000.0
18	11.022	83.291	3.534	56.81	0.721	0.784	20000.0
19	10.386	73.866	3.432	52.556	0.66	0.815	30000.0
20	11.525	84.666	3.731	57.563	0.733	0.771	40000.0
21	11.008	76.547	3.506	52.851	0.688	0.805	30000.0
22	10.513	75.948	3.304	52.309	0.712	0.807	30000.0
23	11.622	87.518	3.704	59.011	0.76	0.771	20000.0
24	10.496	73.421	3.4	50.986	0.703	0.815	30000.0
25	11.831	86.041	3.824	59.051	0.758	0.766	30000.0
26	10.865	77.397	3.329	52.494	0.704	0.81	20000.0
27	11.906	83.901	3.771	57.474	0.719	0.771	60000.0
28	10.832	77.449	3.379	52.441	0.698	0.81	20000.0
29	10.083	72.158	3.351	50.929	0.681	0.81	40000.0
30	11.69	83.045	3.736	56.848	0.736	0.778	40000.0
31	10.3	74.092	3.336	51.488	0.679	0.808	20000.0
32	10.924	77.816	3.524	54.457	0.701	0.791	20000.0
33	10.793	78.072	3.421	53.399	0.692	0.806	30000.0
34	10.761	76.42	3.458	52.475	0.665	0.812	30000.0
35	11.152	75.698	3.515	52.991	0.681	0.813	20000.0
36	10.357	72.156	3.295	50.858	0.696	0.817	30000.0
37	10.835	80.288	3.428	54.754	0.723	0.792	20000.0
38	11.385	81.23	3.673	55.535	0.7	0.787	40000.0
39	11.122	78.364	3.463	53.148	0.706	0.803	30000.0
40	12.106	89.4	3.947	61.504	0.776	0.745	30000.0
41	11.378	83.656	3.6	56.47	0.773	0.776	20000.0
42	11.158	82.065	3.519	56.043	0.766	0.781	30000.0
43	11.071	81.354	3.598	56.185	0.71	0.783	20000.0
44	11.786	87.96	3.775	59.594	0.783	0.764	20000.0
45	10.582	78.269	3.395	52.959	0.708	0.811	30000.0
46	10.87	78.37	3.411	54.524	0.711	0.795	30000.0
47	11.455	85.522	3.512	56.688	0.826	0.763	40000.0
48	10.397	76.041	3.31	51.489	0.669	0.824	30000.0
49	10.452	73.836	3.361	50.974	0.695	0.809	60000.0
50	11.394	82.068	3.569	56.894	0.748	0.782	40000.0
51	10.554	74.291	3.327	51.923	0.685	0.81	30000.0
52	10.848	76.432	3.539	53.903	0.671	0.796	40000.0
53	10.55	73.809	3.415	51.359	0.653	0.821	40000.0
54	10.84	78.146	3.513	54.442	0.714	0.79	30000.0
55	11.451	86.852	3.776	59.682	0.748	0.768	20000.0
56	10.35	75.597	3.247	51.999	0.71	0.807	30000.0
57	10.017	70.999	3.333	50.319	0.681	0.82	20000.0
58	10.997	79.65	3.506	55.243	0.712	0.793	20000.0
59	10.834	76.628	3.484	52.215	0.678	0.819	60000.0
60	11.828	85.926	3.973	60.334	0.731	0.757	50000.0
61	10.907	79.247	3.433	53.748	0.67	0.81	30000.0
62	10.981	80.788	3.464	54.317	0.752	0.79	30000.0
63	11.428	82.315	3.663	57.177	0.733	0.781	30000.0
64	10.644	76.901	3.321	52.227	0.709	0.804	20000.0
65	9.848	72.378	3.207	50.412	0.669	0.823	40000.0
66	11.074	81.31	3.538	54.484	0.695	0.795	40000.0
67	10.63	75.552	3.414	52.78	0.688	0.809	30000.0
68	10.614	75.179	3.328	52.136	0.724	0.803	20000.0
69	11.039	80.239	3.513	53.627	0.702	0.81	60000.0
70	10.773	77.592	3.417	54.092	0.696	0.798	20000.0
71	11.599	84.191	3.738	57.87	0.716	0.766	20000.0
72	11.654	85.79	3.747	58.315	0.762	0.76	20000.0
73	10.514	76.401	3.345	52.819	0.669	0.807	50000.0
74	11.272	80.851	3.533	54.782	0.697	0.805	20000.0
75	11.636	84.43	3.807	59.315	0.75	0.757	20000.0
76	10.55	73.441	3.317	50.652	0.65	0.825	30000.0
77	11.143	80.626	3.57	56.2	0.734	0.775	20000.0
78	10.957	78.917	3.436	53.131	0.688	0.807	20000.0
79	10.481	72.34	3.308	49.375	0.658	0.827	30000.0
80	10.884	78.414	3.468	54.868	0.696	0.795	40000.0
81	10.923	80.524	3.565	55.948	0.733	0.782	20000.0
82	10.856	76.557	3.465	53.572	0.671	0.812	30000.0
83	10.816	77.936	3.41	52.15	0.672	0.819	20000.0
84	10.846	74.111	3.527	51.466	0.679	0.825	20000.0
85	10.666	79.735	3.328	53.854	0.734	0.793	20000.0
86	11.19	78.679	3.542	53.192	0.686	0.808	30000.0
87	10.769	74.038	3.426	50.974	0.672	0.82	40000.0
88	10.814	74.21	3.471	50.965	0.648	0.83	20000.0
89	11.25	84.124	3.652	58.408	0.711	0.77	70000.0
90	10.446	77.025	3.334	52.897	0.676	0.813	30000.0
91	10.353	74.623	3.284	50.692	0.684	0.824	20000.0
92	10.204	71.701	3.307	49.812	0.641	0.826	20000.0
93	11.312	81.738	3.592	54.832	0.724	0.797	20000.0
94	11.066	80.535	3.484	54.381	0.712	0.803	20000.0
95	11.117	83.199	3.555	56.411	0.736	0.781	30000.0
96	11.377	83.721	3.724	57.122	0.766	0.773	30000.0
97	10.109	71.435	3.194	49.217	0.656	0.83	50000.0
98	11.404	84.775	3.629	58.345	0.745	0.765	30000.0
99	11.876	84.33	3.782	58.269	0.723	0.767	20000.0
100	10.727	75.948	3.396	52.45	0.68	0.815	30000.0
