MutationType	TCGA_38_4625_01A	TCGA_38_4626_01A	TCGA_38_4627_01A	TCGA_38_4631_01A	TCGA_38_7271_01A	TCGA_44_2655_01A	TCGA_44_2657_01A	TCGA_44_2659_01A	TCGA_44_3396_01A	TCGA_44_3917_01A	TCGA_44_3918_01A	TCGA_44_4112_01A	TCGA_44_5644_01A	TCGA_44_6145_01A	TCGA_44_6147_01A	TCGA_44_6774_01A	TCGA_44_6775_01A	TCGA_44_6776_01A	TCGA_44_6779_01A	TCGA_44_7661_01A	TCGA_44_7667_01A	TCGA_44_7670_01A	TCGA_44_7672_01A	TCGA_44_8117_01A	TCGA_44_A47G_01A	TCGA_44_A4SU_01A	TCGA_49_4487_01A	TCGA_49_4488_01A	TCGA_49_4490_01A	TCGA_49_4505_01A	TCGA_49_4506_01A	TCGA_49_4507_01A	TCGA_49_6744_01A	TCGA_49_6761_01A	TCGA_49_6767_01A	TCGA_50_5051_01A	TCGA_50_5941_01A	TCGA_50_5942_01A	TCGA_50_6590_01A	TCGA_50_6592_01A	TCGA_50_6593_01A	TCGA_50_6595_01A	TCGA_53_7624_01A	TCGA_53_7813_01A	TCGA_55_6543_01A	TCGA_55_6970_01A	TCGA_55_6971_01A	TCGA_55_6979_01A	TCGA_55_6981_01A	TCGA_55_6985_01A	TCGA_55_7281_01A	TCGA_55_7573_01A	TCGA_55_7574_01A	TCGA_55_7725_01A	TCGA_55_7726_01A	TCGA_55_7728_01A	TCGA_55_7911_01A	TCGA_55_7914_01A	TCGA_55_7995_01A	TCGA_55_8096_01A	TCGA_55_8097_01A	TCGA_55_8203_01A	TCGA_55_8208_01A	TCGA_55_8299_01A	TCGA_55_8506_01A	TCGA_55_8510_01A	TCGA_55_8511_01A	TCGA_55_8616_01A	TCGA_55_A48X_01A	TCGA_55_A48Z_01A	TCGA_55_A492_01A	TCGA_55_A493_01A	TCGA_55_A494_01A	TCGA_62_A46O_01A	TCGA_62_A46R_01A	TCGA_64_1679_01A	TCGA_64_1681_01A	TCGA_64_5781_01A	TCGA_67_3770_01A	TCGA_67_3774_01A	TCGA_67_6217_01A	TCGA_69_7973_01A	TCGA_69_7974_01A	TCGA_69_7979_01A	TCGA_69_7980_01A	TCGA_73_4662_01A	TCGA_73_4666_01A	TCGA_73_4670_01A	TCGA_73_7498_01A	TCGA_78_7145_01A	TCGA_78_7146_01A	TCGA_78_7147_01A	TCGA_78_7153_01A	TCGA_78_7158_01A	TCGA_78_7159_01A	TCGA_78_7161_01A	TCGA_78_7220_01A	TCGA_83_5908_01A	TCGA_86_6851_01A	TCGA_86_7954_01A	TCGA_86_8056_01A	TCGA_86_8074_01A	TCGA_91_6830_01A	TCGA_91_6836_01A	TCGA_91_6840_01A	TCGA_91_6847_01A	TCGA_95_7039_01A	TCGA_95_7043_01A	TCGA_95_7948_01A	TCGA_95_A4VK_01A	TCGA_95_A4VN_01A	TCGA_95_A4VP_01A	TCGA_97_7547_01A	TCGA_97_7553_01A	TCGA_97_7941_01A	TCGA_97_8175_01A	TCGA_97_A4M0_01A	TCGA_97_A4M1_01A	TCGA_97_A4M3_01A	TCGA_99_7458_01A	TCGA_J2_8194_01A	TCGA_J2_A4AD_01A	TCGA_J2_A4AG_01A	TCGA_L4_A4E5_01A	TCGA_L9_A443_01A	TCGA_L9_A444_01A	TCGA_MP_A4T4_01A	TCGA_MP_A4T9_01A	TCGA_MP_A4TF_01A	TCGA_MP_A4TH_01A	TCGA_NJ_A4YQ_01A	TCGA_NJ_A55O_01A	TCGA_O1_A52J_01A
1:Del:C:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Del:C:1	4	3	0	12	1	1	5	1	1	3	11	4	11	5	2	4	0	3	1	4	5	15	2	8	0	3	5	3	0	1	1	1	2	0	5	2	4	1	7	3	2	1	7	2	0	2	1	2	1	5	5	2	3	5	2	0	5	0	1	1	2	4	4	3	5	6	4	3	0	0	8	1	1	11	2	8	0	11	3	0	2	2	3	11	8	4	6	6	1	1	3	8	1	7	4	2	13	4	12	3	1	0	1	0	1	1	15	22	1	3	4	2	1	0	2	0	5	0	2	4	1	5	3	3	3	4	4	0	4	2	14	3	1
1:Del:C:2	3	2	0	5	2	1	1	7	2	1	8	2	2	2	0	1	0	2	2	3	2	1	1	5	0	0	2	6	1	0	1	2	1	0	2	0	4	0	3	1	2	0	2	1	0	1	2	1	0	1	2	1	1	0	0	0	0	1	4	1	0	3	1	1	11	0	4	2	1	0	1	3	1	7	1	2	0	10	0	0	0	3	4	6	5	2	2	2	0	0	3	1	0	0	1	2	4	2	7	1	0	0	1	2	0	0	12	10	1	3	4	0	0	0	0	0	2	0	0	6	1	2	0	2	0	5	3	0	3	3	9	1	0
1:Del:C:3	0	1	0	2	0	2	1	1	0	0	2	2	2	1	0	0	0	0	1	0	0	3	0	1	0	0	2	1	0	0	0	0	2	0	2	0	1	0	5	1	0	0	1	0	0	1	1	2	0	1	1	0	0	1	0	0	0	1	2	0	1	1	0	0	8	2	5	0	1	0	0	0	0	3	0	0	0	2	0	0	0	2	0	0	1	1	1	3	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	2	0	0	2	2	0	0	1	0	0	0	0	0	4	0	0	1	0	1	0	0	0	1	4	0	0	1	4	0	1
1:Del:C:4	2	0	0	0	0	0	0	1	2	0	1	0	2	0	0	1	0	0	0	0	0	3	2	2	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	3	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	0	0	15	2	1	0	0	0	3	1	2	3	2	0	0	1	0	0	1	0	0	0	0	0	1	1	1	3	1	1	0	1	2	0	0	0	1	0	1	0	0	1	0	0	2	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	5	0	0
1:Del:C:5	0	0	0	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	2	0	0
1:Del:T:0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1:Del:T:1	0	1	2	2	0	0	1	2	0	0	2	2	3	0	0	0	0	1	0	0	2	2	2	0	1	0	1	0	0	1	0	2	0	2	1	1	5	2	1	2	1	1	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	3	0	4	2	0	3	1	0	2	0	0	3	0	0	0	1	0	1	1	1	0	0	3	0	0	4	1	1	1	2	1	0	1	0	2	1	3	0	0	0	0	1	1	0	4	3	0	0	2	0	2	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	3	1	1
1:Del:T:2	0	1	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1
1:Del:T:3	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0
