Samples	SBS96A	SBS96B
TCGA_38_4625_01A	1.59E+00	1.59E+00
TCGA_38_4626_01A	7.63E-01	7.63E-01
TCGA_38_4627_01A	5.29E-01	5.29E-01
TCGA_38_4631_01A	1.16E+00	1.16E+00
TCGA_38_7271_01A	5.43E-01	5.43E-01
TCGA_44_2655_01A	4.88E-01	4.90E-01
TCGA_44_2657_01A	1.34E+00	1.34E+00
TCGA_44_2659_01A	1.03E+00	1.03E+00
TCGA_44_3396_01A	1.31E+00	1.31E+00
TCGA_44_3917_01A	8.88E-01	8.89E-01
TCGA_44_3918_01A	1.84E+00	1.84E+00
TCGA_44_4112_01A	1.38E+00	1.38E+00
TCGA_44_5644_01A	1.80E+00	1.80E+00
TCGA_44_6145_01A	7.20E-01	7.20E-01
TCGA_44_6147_01A	6.01E-01	6.01E-01
TCGA_44_6774_01A	6.33E-01	6.33E-01
TCGA_44_6775_01A	9.60E-01	9.60E-01
TCGA_44_6776_01A	8.68E-01	8.68E-01
TCGA_44_6779_01A	9.16E-01	9.18E-01
TCGA_44_7661_01A	1.27E+00	1.27E+00
TCGA_44_7667_01A	1.42E+00	1.42E+00
TCGA_44_7670_01A	2.40E+00	2.40E+00
TCGA_44_7672_01A	8.01E-01	8.01E-01
TCGA_44_8117_01A	1.40E+00	1.40E+00
TCGA_44_A47G_01A	8.17E-01	8.17E-01
TCGA_44_A4SU_01A	9.21E-01	9.21E-01
TCGA_49_4487_01A	1.40E+00	1.40E+00
TCGA_49_4488_01A	8.37E-01	8.37E-01
TCGA_49_4490_01A	5.22E-01	5.22E-01
TCGA_49_4505_01A	9.61E-01	9.61E-01
TCGA_49_4506_01A	6.29E-01	6.28E-01
TCGA_49_4507_01A	1.31E+00	1.31E+00
TCGA_49_6744_01A	6.30E-01	6.30E-01
TCGA_49_6761_01A	1.22E+00	1.22E+00
TCGA_49_6767_01A	1.30E+00	1.30E+00
TCGA_50_5051_01A	6.91E-01	6.91E-01
TCGA_50_5941_01A	1.27E+00	1.27E+00
TCGA_50_5942_01A	7.09E-01	7.09E-01
TCGA_50_6590_01A	2.37E+00	2.37E+00
TCGA_50_6592_01A	1.47E+00	1.47E+00
TCGA_50_6593_01A	1.22E+00	1.22E+00
TCGA_50_6595_01A	8.61E-01	8.61E-01
TCGA_53_7624_01A	2.31E+00	2.31E+00
TCGA_53_7813_01A	6.15E-01	6.15E-01
TCGA_55_6543_01A	6.08E-01	6.09E-01
TCGA_55_6970_01A	7.03E-01	7.03E-01
TCGA_55_6971_01A	6.35E-01	6.35E-01
TCGA_55_6979_01A	9.00E-01	9.00E-01
TCGA_55_6981_01A	8.90E-01	8.89E-01
TCGA_55_6985_01A	1.05E+00	1.05E+00
TCGA_55_7281_01A	1.45E+00	1.45E+00
TCGA_55_7573_01A	6.43E-01	6.42E-01
TCGA_55_7574_01A	1.27E+00	1.27E+00
TCGA_55_7725_01A	5.42E-01	5.42E-01
TCGA_55_7726_01A	7.29E-01	7.29E-01
TCGA_55_7728_01A	4.41E-01	4.41E-01
TCGA_55_7911_01A	1.04E+00	1.04E+00
TCGA_55_7914_01A	1.37E+00	1.37E+00
TCGA_55_7995_01A	2.19E+00	2.19E+00
TCGA_55_8096_01A	9.05E-01	9.05E-01
TCGA_55_8097_01A	1.21E+00	1.21E+00
TCGA_55_8203_01A	1.02E+00	1.02E+00
TCGA_55_8208_01A	1.52E+00	1.52E+00
TCGA_55_8299_01A	8.42E-01	8.42E-01
TCGA_55_8506_01A	8.30E+00	8.30E+00
TCGA_55_8510_01A	1.09E+00	1.09E+00
TCGA_55_8511_01A	1.65E+00	1.65E+00
TCGA_55_8616_01A	1.18E+00	1.18E+00
TCGA_55_A48X_01A	1.00E+00	1.00E+00
TCGA_55_A48Z_01A	7.44E-01	7.44E-01
TCGA_55_A492_01A	1.06E+00	1.06E+00
TCGA_55_A493_01A	1.57E+00	1.57E+00
TCGA_55_A494_01A	1.09E+00	1.09E+00
TCGA_62_A46O_01A	2.83E+00	2.83E+00
TCGA_62_A46R_01A	1.25E+00	1.25E+00
TCGA_64_1679_01A	1.26E+00	1.26E+00
TCGA_64_1681_01A	8.75E-01	8.76E-01
TCGA_64_5781_01A	2.36E+00	2.36E+00
TCGA_67_3770_01A	9.38E-01	9.38E-01
TCGA_67_3774_01A	7.84E-01	7.83E-01
TCGA_67_6217_01A	8.78E-01	8.78E-01
TCGA_69_7973_01A	6.22E-01	6.23E-01
