Samples	SBS96A	SBS96B	SBS96C	SBS96D
TCGA_38_4625_01A	5.07E+00	5.30E+00	1.73E+00	1.00E+00
TCGA_38_4626_01A	2.79E+00	2.97E+00	8.01E-01	5.67E-01
TCGA_38_4627_01A	3.71E-01	4.96E-01	2.35E-01	5.57E-01
TCGA_38_4631_01A	7.27E+00	7.44E+00	1.16E+00	1.28E+00
TCGA_38_7271_01A	8.71E-01	9.73E-01	5.39E-01	9.46E-02
TCGA_44_2655_01A	1.71E+00	1.83E+00	5.66E-01	7.06E-02
TCGA_44_2657_01A	3.28E+00	3.79E+00	1.18E+00	1.52E+00
TCGA_44_2659_01A	2.93E+00	3.24E+00	1.01E+00	1.51E+00
TCGA_44_3396_01A	1.56E+00	2.28E+00	1.41E+00	1.37E+00
TCGA_44_3917_01A	2.71E+00	3.22E+00	8.18E-01	1.23E+00
TCGA_44_3918_01A	6.40E+00	7.44E+00	1.83E+00	1.91E+00
TCGA_44_4112_01A	4.26E+00	4.80E+00	1.46E+00	7.30E-01
TCGA_44_5644_01A	8.68E+00	9.14E+00	1.64E+00	2.48E+00
TCGA_44_6145_01A	2.38E+00	2.73E+00	7.05E-01	1.24E+00
TCGA_44_6147_01A	2.10E+00	2.28E+00	4.55E-01	2.80E-01
TCGA_44_6774_01A	2.65E+00	2.90E+00	6.14E-01	7.58E-01
TCGA_44_6775_01A	1.06E+00	1.65E+00	6.10E-01	1.21E+00
TCGA_44_6776_01A	1.68E+00	2.12E+00	6.67E-01	1.38E+00
TCGA_44_6779_01A	1.44E+00	1.88E+00	4.40E-01	1.39E+00
TCGA_44_7661_01A	2.73E+00	3.08E+00	1.24E+00	1.04E+00
TCGA_44_7667_01A	4.52E+00	4.97E+00	1.02E+00	1.92E+00
TCGA_44_7670_01A	6.05E+00	6.93E+00	2.30E+00	2.57E+00
TCGA_44_7672_01A	2.77E+00	3.34E+00	7.13E-01	1.03E+00
TCGA_44_8117_01A	5.36E+00	5.90E+00	1.41E+00	1.96E+00
TCGA_44_A47G_01A	8.92E-01	1.73E+00	7.65E-01	1.35E+00
TCGA_44_A4SU_01A	2.24E+00	2.76E+00	5.03E-01	1.48E+00
TCGA_49_4487_01A	3.57E+00	4.09E+00	1.33E+00	9.85E-01
TCGA_49_4488_01A	2.89E+00	3.46E+00	8.01E-01	1.06E+00
TCGA_49_4490_01A	1.00E-01	7.29E-01	6.70E-01	9.80E-01
TCGA_49_4505_01A	2.17E+00	2.54E+00	7.33E-01	1.21E+00
TCGA_49_4506_01A	1.59E+00	2.24E+00	3.35E-01	1.31E+00
TCGA_49_4507_01A	2.33E+00	2.70E+00	1.15E+00	1.39E+00
TCGA_49_6744_01A	2.52E+00	2.74E+00	6.76E-01	8.11E-01
TCGA_49_6761_01A	1.76E+00	2.53E+00	1.24E+00	1.35E+00
TCGA_49_6767_01A	4.62E+00	5.23E+00	1.16E+00	1.57E+00
TCGA_50_5051_01A	1.64E+00	1.88E+00	5.39E-01	1.09E+00
TCGA_50_5941_01A	3.41E+00	3.77E+00	1.13E+00	1.22E+00
TCGA_50_5942_01A	1.02E+00	1.25E+00	3.06E-01	6.91E-01
TCGA_50_6590_01A	8.44E+00	8.39E+00	2.29E+00	1.23E+00
TCGA_50_6592_01A	3.05E+00	3.60E+00	1.37E+00	1.50E+00
TCGA_50_6593_01A	4.15E+00	4.44E+00	9.10E-01	1.08E+00
TCGA_50_6595_01A	1.17E+00	1.89E+00	8.71E-01	1.10E+00
TCGA_53_7624_01A	6.60E+00	6.80E+00	2.12E+00	1.78E+00
TCGA_53_7813_01A	2.52E+00	2.87E+00	2.31E-01	1.12E+00
TCGA_55_6543_01A	8.32E-02	4.68E-01	7.06E-02	4.59E-01
TCGA_55_6970_01A	2.21E+00	2.49E+00	5.79E-01	1.13E+00
TCGA_55_6971_01A	1.78E+00	2.09E+00	5.58E-01	6.25E-01
TCGA_55_6979_01A	1.45E+00	1.55E+00	9.48E-01	6.38E-01
TCGA_55_6981_01A	2.83E-01	5.37E-01	4.74E-01	7.40E-01
TCGA_55_6985_01A	4.38E+00	4.90E+00	8.62E-01	1.57E+00
TCGA_55_7281_01A	4.43E+00	5.11E+00	1.25E+00	1.50E+00
TCGA_55_7573_01A	1.03E+00	1.31E+00	5.41E-01	4.75E-01
TCGA_55_7574_01A	2.01E+00	2.61E+00	1.61E+00	7.38E-01
TCGA_55_7725_01A	2.40E+00	2.68E+00	3.71E-01	8.72E-01
TCGA_55_7726_01A	3.66E-01	1.09E+00	1.10E+00	8.13E-01
TCGA_55_7728_01A	1.39E+00	1.53E+00	3.71E-01	8.61E-01
TCGA_55_7911_01A	2.46E+00	2.83E+00	8.31E-01	1.36E+00
TCGA_55_7914_01A	2.17E+00	3.15E+00	8.42E-01	1.94E+00
TCGA_55_7995_01A	5.95E+00	6.52E+00	2.05E+00	1.37E+00
TCGA_55_8096_01A	2.04E+00	2.36E+00	6.85E-01	9.62E-01
TCGA_55_8097_01A	1.48E+00	1.95E+00	6.34E-01	1.62E+00
TCGA_55_8203_01A	3.84E+00	4.10E+00	6.90E-01	1.47E+00
TCGA_55_8208_01A	2.62E+00	3.62E+00	1.80E+00	1.15E+00
TCGA_55_8299_01A	2.57E+00	3.02E+00	6.89E-01	1.02E+00
TCGA_55_8506_01A	1.02E+01	1.21E+01	1.53E+00	8.16E+00
TCGA_55_8510_01A	3.50E+00	3.78E+00	1.00E+00	1.08E+00
TCGA_55_8511_01A	3.79E+00	5.16E+00	1.53E+00	2.45E+00
TCGA_55_8616_01A	3.91E+00	4.45E+00	1.19E+00	1.57E+00
TCGA_55_A48X_01A	4.59E+00	5.02E+00	1.02E+00	1.06E+00
TCGA_55_A48Z_01A	9.42E-01	1.21E+00	4.14E-01	9.07E-01
TCGA_55_A492_01A	4.13E+00	4.47E+00	7.79E-01	1.43E+00
TCGA_55_A493_01A	3.73E+00	4.08E+00	1.34E+00	1.32E+00
TCGA_55_A494_01A	2.22E+00	2.42E+00	6.45E-01	1.62E+00
TCGA_62_A46O_01A	6.63E+00	7.06E+00	2.33E+00	2.07E+00
TCGA_62_A46R_01A	2.05E+00	2.34E+00	9.94E-01	1.52E+00
TCGA_64_1679_01A	3.86E+00	4.31E+00	1.20E+00	1.18E+00
TCGA_64_1681_01A	5.20E-01	1.56E+00	8.41E-01	1.10E+00
TCGA_64_5781_01A	7.42E+00	8.00E+00	2.14E+00	2.10E+00
TCGA_67_3770_01A	2.46E+00	2.95E+00	4.91E-01	1.66E+00
TCGA_67_3774_01A	1.86E+00	2.26E+00	5.16E-01	1.15E+00
TCGA_67_6217_01A	2.08E+00	3.14E+00	6.48E-01	1.72E+00
TCGA_69_7973_01A	2.28E+00	2.68E+00	6.02E-01	1.37E+00
TCGA_69_7974_01A	4.18E+00	4.85E+00	1.11E+00	1.54E+00
TCGA_69_7979_01A	7.47E+00	8.67E+00	2.34E+00	2.68E+00
TCGA_69_7980_01A	6.22E+00	7.29E+00	2.28E+00	2.20E+00
TCGA_73_4662_01A	2.20E+00	3.01E+00	8.12E-01	1.48E+00
TCGA_73_4666_01A	3.54E+00	3.84E+00	1.01E+00	1.37E+00
TCGA_73_4670_01A	3.64E+00	4.94E+00	1.04E+00	2.75E+00
TCGA_73_7498_01A	1.59E+00	2.11E+00	4.51E-01	1.21E+00
TCGA_78_7145_01A	2.68E+00	3.08E+00	7.04E-01	1.27E+00
TCGA_78_7146_01A	3.11E+00	3.38E+00	1.50E+00	1.77E+00
TCGA_78_7147_01A	4.21E+00	4.79E+00	1.31E+00	1.54E+00
TCGA_78_7153_01A	1.17E+00	2.06E+00	9.38E-01	1.47E+00
TCGA_78_7158_01A	2.72E+00	3.20E+00	1.03E+00	1.36E+00
TCGA_78_7159_01A	3.29E+00	3.71E+00	7.30E-01	1.40E+00
TCGA_78_7161_01A	2.46E+00	3.02E+00	6.62E-01	1.32E+00
TCGA_78_7220_01A	7.07E+00	7.76E+00	2.13E+00	1.96E+00
TCGA_83_5908_01A	2.40E+00	2.66E+00	1.21E+00	8.87E-01
TCGA_86_6851_01A	9.16E+00	9.27E+00	2.00E+00	1.04E+00
TCGA_86_7954_01A	2.37E+00	3.21E+00	1.18E+00	1.80E+00
TCGA_86_8056_01A	2.15E+00	2.17E+00	1.32E+00	1.31E+00
TCGA_86_8074_01A	7.56E-01	1.88E+00	5.20E-01	1.46E+00
TCGA_91_6830_01A	9.83E-01	1.41E+00	1.21E+00	5.18E-01
TCGA_91_6836_01A	4.81E+00	5.55E+00	9.55E-01	1.73E+00
TCGA_91_6840_01A	5.78E-01	5.93E-01	1.27E+00	1.25E+00
TCGA_91_6847_01A	7.32E-01	1.57E+00	6.99E-01	1.35E+00
TCGA_95_7039_01A	1.08E+01	1.13E+01	1.98E+00	2.30E+00
TCGA_95_7043_01A	7.90E+00	8.90E+00	1.73E+00	1.93E+00
TCGA_95_7948_01A	0.00E+00	0.00E+00	3.67E-01	3.67E-01
TCGA_95_A4VK_01A	2.94E+00	3.57E+00	6.87E-01	1.76E+00
TCGA_95_A4VN_01A	4.40E+00	5.10E+00	1.16E+00	1.48E+00
TCGA_95_A4VP_01A	2.32E+00	2.51E+00	4.08E-01	9.82E-01
TCGA_97_7547_01A	2.30E+00	2.68E+00	1.07E+00	1.27E+00
TCGA_97_7553_01A	6.42E-01	6.43E-01	2.90E-01	7.69E-01
TCGA_97_7941_01A	9.33E-01	9.58E-01	5.23E-01	6.44E-01
TCGA_97_8175_01A	7.46E-01	9.29E-01	3.21E-01	6.94E-01
TCGA_97_A4M0_01A	3.98E+00	4.31E+00	1.37E+00	9.73E-01
TCGA_97_A4M1_01A	4.56E-01	6.15E-01	5.54E-01	6.41E-01
TCGA_97_A4M3_01A	2.27E+00	2.66E+00	1.01E+00	1.10E+00
TCGA_99_7458_01A	4.64E+00	5.04E+00	9.74E-01	1.31E+00
TCGA_J2_8194_01A	2.35E+00	2.77E+00	5.87E-01	1.18E+00
TCGA_J2_A4AD_01A	2.84E+00	3.99E+00	2.26E+00	1.47E+00
TCGA_J2_A4AG_01A	1.13E+00	1.21E+00	5.42E-01	8.21E-01
TCGA_L4_A4E5_01A	4.12E+00	4.55E+00	8.55E-01	1.35E+00
TCGA_L9_A443_01A	3.01E+00	3.52E+00	7.38E-01	1.17E+00
TCGA_L9_A444_01A	4.95E+00	5.94E+00	1.21E+00	1.90E+00
TCGA_MP_A4T4_01A	3.96E+00	4.64E+00	1.01E+00	1.61E+00
TCGA_MP_A4T9_01A	9.01E-01	1.18E+00	4.69E-01	3.63E-01
TCGA_MP_A4TF_01A	3.87E+00	4.45E+00	1.09E+00	2.08E+00
TCGA_MP_A4TH_01A	1.74E+00	2.23E+00	2.53E-01	1.25E+00
TCGA_NJ_A4YQ_01A	9.51E+00	9.86E+00	1.73E+00	2.09E+00
TCGA_NJ_A55O_01A	1.50E+00	1.42E+00	5.84E-01	7.37E-01
TCGA_O1_A52J_01A	1.83E+00	2.33E+00	6.87E-01	1.09E+00
