NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	162.839	60.61	24.007	48.483	0.396	0.782	50000.0
2	160.783	60.688	23.818	48.429	0.398	0.781	40000.0
3	160.3	59.348	23.834	47.907	0.381	0.785	50000.0
4	159.648	60.23	23.707	48.124	0.393	0.784	40000.0
5	159.637	60.441	23.694	48.1	0.391	0.785	50000.0
6	160.078	59.898	23.754	48.013	0.387	0.787	70000.0
7	161.447	60.881	23.962	48.724	0.398	0.777	70000.0
8	160.374	60.674	23.746	48.227	0.399	0.782	30000.0
9	159.41	60.073	23.72	48.429	0.394	0.779	50000.0
10	159.572	59.78	23.715	47.984	0.385	0.785	30000.0
11	159.942	60.343	23.835	48.281	0.399	0.781	60000.0
12	160.573	60.446	23.831	48.431	0.395	0.781	60000.0
13	160.4	60.174	23.818	48.134	0.392	0.785	40000.0
14	159.237	60.416	23.461	47.948	0.4	0.78	40000.0
15	159.795	60.059	23.722	47.912	0.389	0.787	80000.0
16	159.836	60.245	23.801	48.426	0.395	0.779	40000.0
17	159.955	60.661	23.919	48.443	0.393	0.783	60000.0
18	160.231	59.863	23.83	48.114	0.387	0.788	50000.0
19	158.928	59.046	24.033	48.066	0.382	0.788	50000.0
20	161.039	60.075	23.971	48.173	0.393	0.786	70000.0
21	159.91	59.955	23.738	47.997	0.391	0.785	40000.0
22	159.702	60.076	23.822	48.042	0.395	0.784	40000.0
23	160.523	60.076	23.856	48.015	0.39	0.786	50000.0
24	160.929	60.259	23.973	48.498	0.396	0.78	40000.0
25	160.715	59.959	23.752	48.065	0.385	0.786	60000.0
26	161.847	60.412	23.934	48.434	0.396	0.78	40000.0
27	159.826	59.994	23.755	48.132	0.385	0.785	40000.0
28	160.875	59.627	23.911	47.975	0.388	0.786	40000.0
29	162.196	60.714	24.164	48.606	0.395	0.778	40000.0
30	162.026	60.221	24.127	48.395	0.387	0.783	60000.0
31	160.62	59.818	23.966	47.878	0.384	0.787	50000.0
32	160.223	59.661	23.71	47.699	0.391	0.787	60000.0
33	159.522	60.191	23.557	47.995	0.394	0.781	50000.0
34	158.659	60.176	23.769	48.288	0.392	0.784	40000.0
35	160.177	59.952	23.675	48.178	0.389	0.782	80000.0
36	159.718	60.217	23.817	47.977	0.396	0.784	40000.0
37	161.845	60.337	24.177	48.614	0.395	0.778	40000.0
38	160.747	59.881	24.0	47.85	0.386	0.787	70000.0
39	159.195	59.916	23.664	48.21	0.385	0.782	80000.0
40	160.82	60.631	23.796	48.294	0.395	0.784	30000.0
41	161.958	60.219	24.126	48.195	0.39	0.787	50000.0
42	161.273	60.993	24.006	48.693	0.403	0.777	40000.0
43	160.643	60.425	23.753	48.241	0.395	0.783	90000.0
