Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA_38_4625_01A	464	0	0	150	48	2	8
TCGA_38_4626_01A	54	202	0	13	0	0	0
TCGA_38_4627_01A	0	0	1	3	10	0	14
TCGA_38_4631_01A	255	220	220	13	138	0	3
TCGA_38_7271_01A	0	40	0	24	0	0	0
TCGA_44_2655_01A	79	89	2	12	0	0	0
TCGA_44_2657_01A	251	67	0	43	36	32	36
TCGA_44_2659_01A	308	50	0	16	0	50	39
TCGA_44_3396_01A	0	11	48	100	25	0	35
TCGA_44_3917_01A	64	73	3	21	14	68	11
TCGA_44_3918_01A	768	0	126	109	0	50	34
TCGA_44_4112_01A	211	89	0	102	92	14	0
TCGA_44_5644_01A	370	174	107	44	291	0	58
TCGA_44_6145_01A	269	0	0	8	0	52	17
TCGA_44_6147_01A	19	92	17	2	0	0	0
TCGA_44_6774_01A	91	32	202	1	0	0	0
TCGA_44_6775_01A	0	0	9	9	32	9	13
TCGA_44_6776_01A	133	0	0	8	0	62	12
TCGA_44_6779_01A	24	0	13	3	0	34	33
TCGA_44_7661_01A	91	0	0	52	98	36	12
TCGA_44_7667_01A	0	425	38	14	0	2	60
TCGA_44_7670_01A	667	219	0	173	0	148	24
TCGA_44_7672_01A	37	13	42	4	87	0	5
TCGA_44_8117_01A	515	155	0	29	90	22	56
TCGA_44_A47G_01A	0	0	8	14	0	55	7
TCGA_44_A4SU_01A	9	47	36	2	33	22	22
TCGA_49_4487_01A	54	197	10	53	25	46	3
TCGA_49_4488_01A	141	69	0	26	77	0	3
TCGA_49_4490_01A	0	0	0	20	0	9	25
TCGA_49_4505_01A	24	156	0	22	0	0	43
TCGA_49_4506_01A	38	0	0	5	58	0	20
TCGA_49_4507_01A	0	40	88	54	0	20	28
TCGA_49_6744_01A	0	89	146	4	0	0	1
TCGA_49_6761_01A	37	0	0	77	32	41	18
TCGA_49_6767_01A	161	0	231	38	59	16	31
TCGA_50_5051_01A	51	23	17	8	0	0	21
TCGA_50_5941_01A	159	114	0	25	82	24	16
TCGA_50_5942_01A	0	29	0	0	8	24	4
TCGA_50_6590_01A	311	99	0	192	379	0	0
TCGA_50_6592_01A	0	109	0	55	64	86	11
TCGA_50_6593_01A	131	47	0	12	126	15	17
TCGA_50_6595_01A	0	0	0	20	0	71	2
TCGA_53_7624_01A	282	16	86	167	232	96	24
TCGA_53_7813_01A	25	39	23	0	64	3	23
TCGA_55_6543_01A	0	0	0	0	0	4	17
TCGA_55_6970_01A	16	61	40	11	26	18	16
TCGA_55_6971_01A	0	0	23	4	43	22	0
TCGA_55_6979_01A	20	42	11	45	0	0	7
TCGA_55_6981_01A	0	0	0	7	0	19	29
TCGA_55_6985_01A	310	0	0	8	115	54	22
TCGA_55_7281_01A	102	12	194	30	0	149	10
TCGA_55_7573_01A	0	0	29	6	0	22	0
TCGA_55_7574_01A	7	27	64	130	0	56	0
TCGA_55_7725_01A	0	107	0	0	37	0	13
TCGA_55_7726_01A	0	0	0	79	21	0	22
TCGA_55_7728_01A	15	0	75	1	2	0	15
TCGA_55_7911_01A	0	101	92	19	0	38	11
TCGA_55_7914_01A	11	72	0	26	47	0	48
TCGA_55_7995_01A	184	255	0	97	83	134	1
TCGA_55_8096_01A	69	20	0	6	0	53	19
TCGA_55_8097_01A	30	0	0	9	0	41	42
TCGA_55_8203_01A	212	64	0	0	151	0	53
TCGA_55_8208_01A	3	79	0	201	39	59	6
TCGA_55_8299_01A	0	6	189	8	1	23	8
TCGA_55_8506_01A	771	0	150	3	218	0	755
TCGA_55_8510_01A	61	75	157	27	29	0	10
TCGA_55_8511_01A	338	0	31	78	27	125	42
TCGA_55_8616_01A	161	262	139	21	2	0	43
TCGA_55_A48X_01A	186	31	163	25	0	49	4
TCGA_55_A48Z_01A	2	0	3	4	16	20	19
TCGA_55_A492_01A	0	0	295	13	0	0	24
TCGA_55_A493_01A	52	32	62	79	85	21	15
TCGA_55_A494_01A	60	145	0	7	0	0	60
TCGA_62_A46O_01A	506	0	16	169	154	163	31
TCGA_62_A46R_01A	17	0	42	29	49	20	32
TCGA_64_1679_01A	166	284	57	42	0	0	17
TCGA_64_1681_01A	0	0	0	20	0	60	4
TCGA_64_5781_01A	299	593	17	129	0	166	29
TCGA_67_3770_01A	85	59	0	0	27	49	21
TCGA_67_3774_01A	0	37	0	4	70	0	11
TCGA_67_6217_01A	118	0	6	5	0	70	13
