Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
TCGA_38_4625_01A	672	0.974	164.953	24.547%	27.001	22.799%	0.07297	0.961
TCGA_38_4626_01A	269	0.931	115.382	42.893%	17.189	36.706%	0.21212	0.895
TCGA_38_4627_01A	28	0.676	32.767	117.025%	5.434	73.947%	1.06837	0.603
TCGA_38_4631_01A	849	0.981	185.241	21.819%	26.247	19.644%	0.05771	0.966
TCGA_38_7271_01A	64	0.882	47.368	74.012%	6.956	48.702%	0.52459	0.854
TCGA_44_2655_01A	182	0.927	86.716	47.646%	12.648	37.793%	0.25588	0.892
TCGA_44_2657_01A	465	0.968	137.31	29.529%	19.109	25.159%	0.09968	0.948
TCGA_44_2659_01A	463	0.973	137.185	29.63%	17.974	22.955%	0.11489	0.958
TCGA_44_3396_01A	219	0.94	96.582	44.101%	14.742	34.284%	0.21526	0.917
TCGA_44_3917_01A	254	0.91	117.903	46.419%	17.166	41.906%	0.22804	0.849
TCGA_44_3918_01A	1087	0.986	212.552	19.554%	31.278	16.739%	0.04647	0.978
TCGA_44_4112_01A	508	0.964	155.911	30.691%	21.707	26.768%	0.09804	0.937
TCGA_44_5644_01A	1044	0.985	211.183	20.228%	28.314	17.73%	0.04886	0.973
TCGA_44_6145_01A	346	0.942	139.132	40.212%	21.36	33.681%	0.17692	0.914
TCGA_44_6147_01A	130	0.897	70.976	54.597%	10.103	44.305%	0.36451	0.839
TCGA_44_6774_01A	326	0.949	113.012	34.666%	17.501	31.71%	0.12995	0.918
TCGA_44_6775_01A	72	0.739	57.344	79.644%	7.999	67.604%	0.57747	0.518
TCGA_44_6776_01A	215	0.924	98.758	45.934%	14.119	38.3%	0.19948	0.88
TCGA_44_6779_01A	107	0.848	74.384	69.518%	10.1	53.158%	0.46505	0.762
TCGA_44_7661_01A	289	0.934	107.166	37.082%	15.765	35.857%	0.15534	0.875
TCGA_44_7667_01A	539	0.965	147.242	27.318%	20.808	26.285%	0.09248	0.931
TCGA_44_7670_01A	1231	0.982	259.949	21.117%	37.716	18.879%	0.04377	0.971
TCGA_44_7672_01A	188	0.923	81.579	43.393%	11.565	38.766%	0.23462	0.866
TCGA_44_8117_01A	867	0.99	144.98	16.722%	19.901	14.027%	0.03924	0.984
TCGA_44_A47G_01A	84	0.838	56.813	67.635%	7.435	54.516%	0.47553	0.713
TCGA_44_A4SU_01A	171	0.893	80.716	47.202%	12.022	45.213%	0.2765	0.804
TCGA_49_4487_01A	388	0.953	132.636	34.185%	17.654	30.205%	0.14451	0.912
TCGA_49_4488_01A	316	0.963	98.841	31.279%	14.126	27.256%	0.12328	0.939
TCGA_49_4490_01A	54	0.839	43.135	79.88%	6.315	54.553%	0.626	0.785
TCGA_49_4505_01A	245	0.941	101.844	41.569%	13.432	34.239%	0.19009	0.9
TCGA_49_4506_01A	121	0.837	75.512	62.407%	10.782	54.808%	0.39362	0.712
TCGA_49_4507_01A	230	0.923	104.094	45.258%	13.671	38.422%	0.22882	0.86
TCGA_49_6744_01A	240	0.952	92.145	38.394%	12.127	30.823%	0.18073	0.921
TCGA_49_6761_01A	205	0.93	100.58	49.063%	14.819	37.556%	0.24571	0.903
TCGA_49_6767_01A	536	0.973	138.954	25.924%	19.03	23.242%	0.09247	0.95
TCGA_50_5051_01A	120	0.862	73.049	60.874%	10.053	50.775%	0.41813	0.766
TCGA_50_5941_01A	420	0.961	132.379	31.519%	17.205	28.141%	0.10979	0.924
TCGA_50_5942_01A	65	0.806	47.49	73.062%	6.006	59.179%	0.53051	0.625
TCGA_50_6590_01A	981	0.986	174.681	17.806%	26.315	17.296%	0.03285	0.976
TCGA_50_6592_01A	325	0.947	116.684	35.903%	14.852	32.264%	0.13473	0.885
TCGA_50_6593_01A	348	0.941	125.804	36.151%	18.121	33.944%	0.1405	0.891
TCGA_50_6595_01A	93	0.874	61.491	66.119%	8.594	49.535%	0.42966	0.822
TCGA_53_7624_01A	903	0.985	169.741	18.797%	23.036	17.131%	0.04785	0.973
TCGA_53_7813_01A	177	0.884	87.7	49.548%	13.64	46.923%	0.25152	0.805
TCGA_55_6543_01A	21	0.73	24.373	116.062%	4.27	68.375%	1.27664	0.686
TCGA_55_6970_01A	188	0.926	84.373	44.879%	11.545	38.569%	0.22516	0.879
TCGA_55_6971_01A	92	0.77	71.332	77.535%	9.893	63.859%	0.54341	0.596
TCGA_55_6979_01A	125	0.868	80.006	64.005%	11.47	49.776%	0.3969	0.802
TCGA_55_6981_01A	55	0.823	47.525	86.409%	6.36	56.886%	0.66766	0.753
TCGA_55_6985_01A	509	0.965	154.087	30.272%	21.258	26.181%	0.10349	0.941
TCGA_55_7281_01A	497	0.955	161.213	32.437%	22.017	29.777%	0.12426	0.913
TCGA_55_7573_01A	57	0.761	50.591	88.756%	6.798	65.113%	0.6698	0.628
TCGA_55_7574_01A	284	0.95	119.539	42.091%	17.391	31.205%	0.20434	0.931
TCGA_55_7725_01A	157	0.89	84.669	53.929%	12.254	46.021%	0.25871	0.824
TCGA_55_7726_01A	122	0.932	65.585	53.758%	10.928	36.266%	0.33324	0.917
TCGA_55_7728_01A	108	0.895	63.004	58.337%	8.838	45.219%	0.33769	0.845
TCGA_55_7911_01A	261	0.938	96.514	36.979%	13.149	34.615%	0.16688	0.874
TCGA_55_7914_01A	204	0.886	108.422	53.148%	14.513	46.455%	0.25697	0.782
TCGA_55_7995_01A	754	0.974	183.67	24.359%	24.972	22.691%	0.06579	0.948
TCGA_55_8096_01A	167	0.927	73.192	43.828%	9.899	37.658%	0.23138	0.871
TCGA_55_8097_01A	122	0.862	73.447	60.202%	10.442	50.711%	0.44299	0.771
TCGA_55_8203_01A	480	0.956	154.671	32.223%	21.857	29.249%	0.11429	0.922
TCGA_55_8208_01A	387	0.984	107.676	27.823%	13.839	17.677%	0.11781	0.979
TCGA_55_8299_01A	235	0.942	89.609	38.131%	12.428	33.837%	0.17643	0.899
TCGA_55_8506_01A	1897	0.994	238.827	12.59%	34.3	11.18%	0.01627	0.99
TCGA_55_8510_01A	359	0.961	105.843	29.483%	15.624	27.746%	0.09986	0.931
TCGA_55_8511_01A	641	0.977	154.234	24.061%	21.312	21.488%	0.07001	0.958
TCGA_55_8616_01A	628	0.975	158.144	25.182%	22.704	22.345%	0.06797	0.96
TCGA_55_A48X_01A	458	0.971	140.014	30.571%	18.455	24.079%	0.11079	0.955
TCGA_55_A48Z_01A	64	0.777	54.737	85.527%	7.288	62.959%	0.62669	0.648
TCGA_55_A492_01A	332	0.945	121.207	36.508%	16.235	32.76%	0.14442	0.894
TCGA_55_A493_01A	346	0.945	129.864	37.533%	17.911	32.855%	0.15586	0.904
TCGA_55_A494_01A	272	0.952	98.889	36.356%	13.104	30.499%	0.14373	0.917
TCGA_62_A46O_01A	1039	0.984	205.679	19.796%	27.696	17.793%	0.04558	0.97
TCGA_62_A46R_01A	189	0.874	98.231	51.974%	14.858	48.695%	0.2802	0.78
TCGA_64_1679_01A	566	0.974	148.909	26.309%	20.772	22.833%	0.09017	0.956
TCGA_64_1681_01A	84	0.832	59.45	70.774%	8.033	55.433%	0.4606	0.727
TCGA_64_5781_01A	1233	0.984	236.47	19.178%	33.622	17.987%	0.038	0.971
TCGA_67_3770_01A	241	0.929	93.586	38.832%	13.594	36.957%	0.19734	0.868
TCGA_67_3774_01A	122	0.866	71.845	58.889%	9.701	50.297%	0.34948	0.763
TCGA_67_6217_01A	212	0.931	92.104	43.445%	12.803	36.685%	0.20779	0.886
TCGA_69_7973_01A	278	0.934	107.567	38.693%	16.755	35.771%	0.14783	0.893
TCGA_69_7974_01A	572	0.961	174.227	30.459%	24.445	27.531%	0.0898	0.931
TCGA_69_7979_01A	1677	0.992	247.211	14.741%	35.664	12.51%	0.02964	0.988
TCGA_69_7980_01A	941	0.982	204.072	21.687%	27.399	18.762%	0.05335	0.969
TCGA_73_4662_01A	232	0.94	93.784	40.424%	12.062	34.062%	0.21284	0.889
TCGA_73_4666_01A	410	0.965	115.152	28.086%	15.99	26.077%	0.0852	0.934
TCGA_73_4670_01A	391	0.937	145.987	37.337%	20.1	35.006%	0.13849	0.875
TCGA_73_7498_01A	130	0.855	83.804	64.465%	11.48	52.182%	0.38432	0.764
TCGA_78_7145_01A	219	0.916	105.57	48.205%	14.361	40.346%	0.23804	0.858
TCGA_78_7146_01A	420	0.963	125.702	29.929%	17.739	26.84%	0.1057	0.936
TCGA_78_7147_01A	387	0.956	126.68	32.734%	16.352	29.459%	0.11345	0.909
TCGA_78_7153_01A	126	0.859	80.775	64.107%	10.751	51.137%	0.39751	0.763
TCGA_78_7158_01A	266	0.948	98.166	36.905%	13.395	32.094%	0.15465	0.911
TCGA_78_7159_01A	330	0.951	118.922	36.037%	15.746	30.798%	0.1276	0.913
TCGA_78_7161_01A	209	0.91	98.69	47.22%	13.713	41.478%	0.26128	0.841
TCGA_78_7220_01A	962	0.979	210.86	21.919%	29.277	20.643%	0.05535	0.962
TCGA_83_5908_01A	272	0.946	108.565	39.914%	16.024	32.506%	0.19051	0.919
TCGA_86_6851_01A	965	0.977	218.368	22.629%	30.175	21.329%	0.05367	0.955
TCGA_86_7954_01A	243	0.908	111.583	45.919%	16.278	41.932%	0.22037	0.84
TCGA_86_8056_01A	297	0.96	115.93	39.034%	18.33	28.233%	0.17685	0.949
TCGA_86_8074_01A	72	0.792	60.586	84.147%	7.815	61.4%	0.63017	0.67
TCGA_91_6830_01A	252	0.985	85.203	33.811%	13.111	17.942%	0.16915	0.983
TCGA_91_6836_01A	499	0.969	131.767	26.406%	18.593	24.848%	0.0982	0.941
TCGA_91_6840_01A	144	0.964	64.083	44.502%	9.122	26.623%	0.29445	0.956
TCGA_91_6847_01A	92	0.828	66.857	72.671%	9.029	57.104%	0.54367	0.725
TCGA_95_7039_01A	1392	0.99	212.593	15.272%	29.152	13.948%	0.02582	0.982
