Samples	SBS1	SBS2	SBS4	SBS5	SBS13
TCGA_38_4625_01A	0	68	546	0	57
TCGA_38_4626_01A	3	0	227	39	0
TCGA_38_4627_01A	9	0	0	19	0
TCGA_38_4631_01A	12	0	689	148	0
TCGA_38_7271_01A	0	11	36	0	16
TCGA_44_2655_01A	0	0	162	20	0
TCGA_44_2657_01A	23	0	359	83	0
TCGA_44_2659_01A	26	0	395	42	0
TCGA_44_3396_01A	29	55	85	0	48
TCGA_44_3917_01A	7	0	144	103	0
TCGA_44_3918_01A	21	0	887	179	0
TCGA_44_4112_01A	0	45	401	0	60
TCGA_44_5644_01A	35	0	756	253	0
TCGA_44_6145_01A	13	0	295	38	0
TCGA_44_6147_01A	0	0	105	25	0
TCGA_44_6774_01A	5	0	266	55	0
TCGA_44_6775_01A	4	0	0	68	0
TCGA_44_6776_01A	7	0	153	55	0
TCGA_44_6779_01A	21	0	50	36	0
TCGA_44_7661_01A	0	31	218	0	39
TCGA_44_7667_01A	36	0	365	138	0
TCGA_44_7670_01A	0	79	1049	0	102
TCGA_44_7672_01A	5	0	132	51	0
TCGA_44_8117_01A	30	0	704	133	0
TCGA_44_A47G_01A	6	6	0	61	11
TCGA_44_A4SU_01A	6	0	88	77	0
TCGA_49_4487_01A	8	18	238	92	32
TCGA_49_4488_01A	6	17	253	32	8
TCGA_49_4490_01A	9	5	0	33	7
TCGA_49_4505_01A	24	0	148	73	0
TCGA_49_4506_01A	6	0	61	54	0
TCGA_49_4507_01A	26	34	143	0	25
TCGA_49_6744_01A	4	0	182	54	0
TCGA_49_6761_01A	0	58	111	0	34
TCGA_49_6767_01A	17	0	379	140	0
TCGA_50_5051_01A	8	0	82	30	0
TCGA_50_5941_01A	9	0	299	112	0
TCGA_50_5942_01A	3	0	30	32	0
TCGA_50_6590_01A	0	97	763	0	120
TCGA_50_6592_01A	0	24	131	139	28
TCGA_50_6593_01A	9	0	232	107	0
TCGA_50_6595_01A	5	16	0	63	9
TCGA_53_7624_01A	0	70	527	228	77
TCGA_53_7813_01A	12	0	114	51	0
TCGA_55_6543_01A	10	0	0	11	0
TCGA_55_6970_01A	7	0	116	65	0
TCGA_55_6971_01A	1	0	41	50	0
TCGA_55_6979_01A	0	14	77	0	32
TCGA_55_6981_01A	15	0	0	40	0
TCGA_55_6985_01A	11	0	381	117	0
TCGA_55_7281_01A	13	0	329	155	0
TCGA_55_7573_01A	1	0	24	32	0
TCGA_55_7574_01A	0	64	136	0	83
TCGA_55_7725_01A	8	0	109	40	0
TCGA_55_7726_01A	16	27	0	31	48
TCGA_55_7728_01A	7	0	85	16	0
TCGA_55_7911_01A	9	0	164	88	0
TCGA_55_7914_01A	22	0	95	87	0
TCGA_55_7995_01A	9	51	469	185	40
TCGA_55_8096_01A	15	0	110	42	0
TCGA_55_8097_01A	23	0	47	52	0
TCGA_55_8203_01A	33	0	378	69	0
TCGA_55_8208_01A	0	69	80	139	97
TCGA_55_8299_01A	4	0	144	87	0
TCGA_55_8506_01A	353	0	1103	441	0
TCGA_55_8510_01A	8	0	268	83	0
TCGA_55_8511_01A	26	41	432	118	24
TCGA_55_8616_01A	23	0	497	108	0
TCGA_55_A48X_01A	6	0	362	90	0
TCGA_55_A48Z_01A	9	0	0	55	0
TCGA_55_A492_01A	14	0	228	90	0
TCGA_55_A493_01A	0	59	250	0	35
TCGA_55_A494_01A	32	0	191	49	0
TCGA_62_A46O_01A	0	98	846	0	94
TCGA_62_A46R_01A	21	22	89	57	0
TCGA_64_1679_01A	14	0	445	107	0
TCGA_64_1681_01A	6	10	0	53	15
TCGA_64_5781_01A	33	84	869	199	48
TCGA_67_3770_01A	11	0	161	69	0
TCGA_67_3774_01A	3	0	60	59	0
